"Table 7.1. Current-Cost Net Stock of Government Fixed Assets"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"24","      Aircraft","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",37.5,40.1,45.8,48.6,50.9,56.5,60.0,68.1,74.5,82.1,89.8,99.3,136.6,108.2,97.2,95.0,98.4,103.6,108.2,109.5,107.7,111.1,121.7,124.7,117.6,111.4,118.7,128.9,119.5,113.2,116.8,117.9,119.0,119.4,123.5,129.8,133.4,133.1,142.9,148.8,151.6,158.6,160.1,158.5,164.2,167.6,176.9
"25","      Missiles","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",16.2,19.6,17.8,21.3,27.2,29.0,36.2,28.6,26.1,27.1,31.2,35.4,40.5,44.2,50.6,52.6,56.8,59.4,65.6,65.7,72.2,78.8,78.3,71.3,63.9,62.3,61.5,58.5,53.2,50.7,48.5,47.7,47.1,47.2,46.5,47.0,47.3,47.3,49.2,50.9,50.9,53.0,54.4,55.1,53.2,54.0,52.7
"26","      Ships","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",25.2,27.0,30.7,32.9,35.2,40.0,44.1,49.2,53.5,58.3,61.4,67.0,73.0,76.9,81.5,85.5,91.0,96.2,101.7,108.2,110.9,112.4,117.2,118.2,115.8,113.9,109.1,108.8,107.4,105.5,106.8,111.5,114.8,118.7,124.7,127.7,132.7,134.6,138.8,142.1,141.9,144.5,147.0,149.5,152.2,155.4,160.5
"27","      Vehicles","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",7.1,4.2,2.2,3.6,3.7,4.0,4.4,5.2,7.0,10.3,13.0,13.6,14.2,15.4,17.2,18.9,20.0,20.3,20.9,23.4,23.3,22.7,22.8,20.2,19.5,18.8,17.8,18.5,16.6,16.4,17.1,17.8,18.2,18.8,21.4,23.7,28.6,32.1,34.5,35.5,36.3,32.6,36.6,33.8,33.4,29.9,30.5
"28","      Electronics","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",8.5,7.8,8.0,7.3,7.1,6.7,7.2,7.7,8.4,9.0,9.7,10.4,11.5,12.9,14.4,15.9,17.0,17.9,18.4,18.2,18.2,18.5,18.3,17.6,16.8,16.1,15.3,15.4,15.6,15.7,16.2,17.1,18.6,20.6,23.9,28.2,33.9,38.8,41.8,43.3,43.3,41.7,39.3,36.9,35.4,35.1,35.1
"29","      Other equipment","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",11.7,13.0,13.9,16.1,17.6,18.7,21.7,22.5,27.1,28.9,34.1,38.8,41.2,47.5,47.9,52.3,61.4,66.3,70.6,74.3,83.2,85.4,87.1,89.4,92.8,93.6,94.5,95.4,97.0,98.2,102.6,107.6,116.6,125.5,131.3,138.9,152.4,164.0,174.8,183.9,190.0,191.2,191.0,191.4,191.4,194.3,201.5
"30","    Structures",4.4,4.4,4.3,4.1,4.7,4.3,3.8,3.6,3.9,4.1,4.2,4.6,4.9,5.0,5.2,6.2,12.0,27.3,34.8,37.0,42.3,43.7,43.7,43.9,41.2,44.5,51.3,53.2,53.3,56.8,56.9,63.1,65.6,69.4,68.3,68.8,70.6,72.0,72.9,74.1,75.5,78.1,83.6,87.9,94.1,102.1,109.9,126.8,146.3,174.9,175.1,192.2,192.3,209.0,238.1,260.0,262.1,267.1,273.7,287.0,295.5,310.2,316.7,337.7,352.3,358.3,369.0,386.4,398.6,414.4,427.0,436.0,448.9,459.6,475.3,492.3,504.2,514.7,524.9,571.1,617.6,666.0,696.6,714.7,696.3,708.3,731.7,745.2,764.3,769.9,766.0,780.7,796.6,809.9
"31","      Buildings",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.5,0.7,3.0,8.8,12.2,13.9,16.3,16.6,16.5,16.4,15.6,16.5,19.4,19.6,20.6,23.8,21.5,24.1,25.7,26.3,24.9,24.4,24.9,24.7,24.9,24.9,26.1,26.7,28.2,28.7,30.8,32.2,35.0,35.9,39.2,45.8,45.4,46.9,49.4,53.9,62.2,67.4,73.8,77.0,84.3,84.8,83.3,82.9,89.6,101.2,106.8,109.2,107.8,110.1,113.7,118.1,120.8,123.9,127.3,130.7,135.1,139.2,143.4,147.3,152.7,164.9,177.1,185.4,186.0,182.1,173.7,172.2,173.3,176.3,182.2,184.3,184.6,189.2,193.4,198.6
"32","        Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.3,0.6,1.2,2.2,2.5,2.6,3.1,4.0,3.2,3.1,3.8,4.7,3.5,3.4,5.7,2.5,3.5,3.7,4.0,4.5,4.7,4.9,5.1,5.1,5.3,5.4,5.5,5.4,5.8,6.3,6.4,7.0,8.0,8.8,9.4,10.5,12.0,13.7,16.5,21.1,21.5,24.4,26.5,34.5,34.7,32.4,30.8,35.8,46.5,50.7,51.7,50.4,52.7,56.4,59.9,61.6,63.8,66.0,68.7,72.2,75.3,79.1,82.5,87.5,95.0,103.0,106.8,105.2,101.6,98.5,98.3,98.8,101.1,105.1,106.7,107.4,110.7,113.9,117.7
"33","        Industrial",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.4,2.4,7.6,10.1,11.4,13.7,13.5,12.5,13.2,12.6,12.7,14.7,16.1,17.2,18.0,19.0,20.6,22.0,22.3,20.4,19.7,20.0,19.6,19.8,19.6,20.7,21.2,22.8,22.9,24.5,25.8,28.0,27.9,30.5,36.3,34.9,34.9,35.7,37.4,41.1,45.9,49.4,50.5,49.9,50.1,50.8,52.2,53.8,54.7,56.1,57.6,57.4,57.4,57.3,58.2,59.2,60.1,61.3,62.0,62.9,63.9,64.2,64.8,65.3,69.9,74.1,78.7,80.7,80.4,75.2,73.9,74.5,75.1,77.1,77.6,77.2,78.5,79.5,80.9
"34","      Military facilities 3",4.4,4.4,4.3,4.1,4.7,4.3,3.8,3.6,3.9,4.1,4.2,4.4,4.6,4.6,4.7,5.5,9.0,18.5,22.5,23.1,25.9,27.1,27.2,27.5,25.6,28.0,31.9,33.6,32.7,33.0,35.4,39.0,39.9,43.1,43.4,44.3,45.6,47.3,48.1,49.2,49.4,51.5,55.4,59.2,63.3,69.9,74.9,90.9,107.1,129.1,129.7,145.3,142.9,155.2,175.9,192.6,188.2,190.1,189.4,202.2,212.2,227.3,227.1,236.5,245.4,249.1,261.2,276.3,284.9,296.3,306.2,312.1,321.5,328.9,340.3,353.1,360.8,367.5,372.2,406.2,440.5,480.5,510.6,532.6,522.6,536.0,558.5,568.9,582.1,585.6,581.4,591.5,603.2,611.2
