"Table 4.1. Foreign Transactions in the National Income and Product Accounts"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: January 30, 2020 - Next Release Date February 27, 2020"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","        Durable",1.3,0.8,0.5,0.2,0.3,0.4,0.7,0.7,1.0,0.6,0.7,1.0,1.4,1.0,1.0,1.1,1.2,1.5,1.8,2.4,2.1,3.0,3.8,4.1,4.1,3.6,4.5,5.2,5.3,5.0,6.6,6.4,6.0,6.9,7.4,8.4,10.4,13.3,14.5,18.8,20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89.0,100.4,111.9,126.0,125.1,147.3,192.4,204.2,238.8,264.2,294.8,310.3,314.5,315.5,346.7,386.4,454.0,510.8,533.4,588.5,637.7,715.8,822.2,756.2,771.7,803.9,934.5,1023.9,1129.5,1174.4,1160.6,891.4,1104.5,1236.6,1326.4,1357.6,1450.3,1488.9,1464.9,1566.5,1664.3,1638.4
"21","        Nondurable",3.2,2.3,1.7,1.1,1.2,1.3,1.8,1.8,2.2,1.6,1.7,1.7,2.1,1.8,2.5,2.7,2.7,3.6,4.2,5.2,4.8,6.1,7.4,6.7,6.9,6.7,7.1,7.6,8.0,8.0,8.7,8.9,9.0,9.9,10.3,11.0,11.8,13.1,13.2,15.1,16.1,18.1,19.9,23.6,31.0,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.5,193.5,185.2,198.2,206.4,222.8,246.7,274.1,297.1,293.0,335.4,427.9,417.6,422.7,487.4,572.8,691.6,766.3,825.3,983.7,694.0,840.3,1003.9,975.0,938.7,941.3,799.1,756.1,813.3,906.3,891.6
"22","    Services1",1.1,1.0,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1.0,1.9,2.8,3.1,3.7,1.9,2.0,2.5,2.4,2.5,3.4,4.5,5.0,5.1,5.7,6.1,6.7,7.1,7.0,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56.0,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,197.4,221.2,218.8,229.8,248.0,289.4,311.0,347.8,379.6,415.9,393.1,415.4,441.9,458.5,467.8,487.8,498.6,518.3,552.3,577.9,605.8
"23","Income payments",0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.1,1.1,1.2,1.2,1.5,1.8,1.8,1.8,2.1,2.3,2.6,3.0,3.3,4.0,5.7,6.4,6.4,7.7,10.9,14.3,15.0,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,87.3,94.4,105.8,129.5,152.9,154.2,136.8,121.0,124.4,161.6,201.9,215.5,256.8,269.4,294.7,345.6,275.3,269.6,295.4,368.8,488.1,661.5,757.6,694.2,505.8,519.5,552.8,567.4,592.7,612.5,613.1,643.5,714.6,838.3,"---"
"24","    Wage and salary payments","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4.0,4.8,5.1,6.0,6.3,6.3,6.7,7.0,11.4,11.0,11.7,12.4,12.9,14.0,15.9,16.4,15.7,17.1,14.4,14.0,14.2,14.9,16.0,17.1,17.7,18.7,19.0,19.6,"---"
"25","    Income payments on assets","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.6,0.6,0.7,0.8,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.3,1.5,1.5,1.6,1.8,2.1,2.4,2.8,3.1,3.8,5.5,6.2,6.2,7.4,10.6,13.9,14.6,15.1,16.4,24.2,35.9,44.3,58.4,63.8,64.0,84.7,86.4,91.7,103.5,127.6,150.6,150.7,132.7,116.2,119.3,155.6,195.6,209.2,250.1,262.4,283.3,334.6,263.6,257.2,282.5,354.8,472.2,645.1,741.9,677.1,491.4,505.5,538.6,552.4,576.7,595.4,595.4,624.8,695.6,818.8,"---"
"26","        Interest","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.7,0.9,1.0,1.2,1.3,1.7,1.9,2.4,4.0,4.7,4.2,5.2,7.9,11.0,11.3,10.7,11.8,18.0,27.9,36.0,50.0,59.7,58.0,75.2,77.7,82.4,92.5,113.0,142.2,145.8,133.7,111.0,107.3,129.1,161.2,171.8,202.2,218.3,228.3,278.7,249.7,209.1,193.3,225.9,323.5,463.3,578.3,493.5,343.2,311.4,310.1,309.0,309.3,306.9,322.8,348.0,397.6,468.4,"---"
"27","        Dividends","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10.0,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41.0,51.0,56.9,46.5,44.8,68.9,73.3,102.5,108.1,108.6,135.9,119.0,126.6,143.7,151.7,179.5,193.9,189.4,185.0,190.2,203.5,"---"
"28","        Reinvested earnings on foreign direct investment in the United States","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.9,1.1,1.2,1.7,1.6,2.6,4.1,3.6,3.1,-3.4,-1.3,2.2,-0.5,-0.7,-0.3,1.4,-7.9,-13.9,-18.1,-11.4,-6.9,5.1,8.6,8.7,15.2,3.0,4.0,-1.0,-32.6,3.4,20.3,55.6,46.2,73.7,55.1,47.8,29.2,67.5,84.8,91.8,87.8,94.6,83.2,91.7,107.8,146.9,"---"
"29","Current taxes and transfer payments to the rest of the world2",0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.8,2.9,2.6,4.5,5.6,4.0,3.5,2.6,2.5,2.3,2.6,2.5,2.4,2.4,4.4,4.1,4.2,4.4,4.5,4.4,4.7,5.1,5.5,5.9,5.9,6.6,7.9,9.2,7.9,8.7,9.1,8.1,8.1,8.8,10.6,12.6,17.0,19.8,20.5,23.6,25.7,27.8,26.8,29.0,30.4,31.7,-4.9,41.9,45.4,46.1,44.1,49.5,51.4,60.0,86.0,97.6,109.1,119.9,134.6,149.0,164.3,156.7,176.9,204.6,209.3,214.2,226.6,225.2,239.6,254.8,264.7,283.0,298.5,294.5,311.8
