"Table 2.2. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"20","          Light trucks (including utility vehicles)",2.928,3.089,3.103,3.169,3.716,3.928,3.887,3.592,3.339,3.320,3.474,3.821,4.082,3.952,4.101,4.369,4.682,4.035,3.553,3.511,4.175,5.036,5.907,6.721,7.043,7.705,8.329,8.312,8.288,8.185,8.570,8.836,8.842,8.584,8.700,8.804,8.952,9.590,10.261,10.910,12.025,13.427,14.118,15.265,16.853,17.351,18.089,19.732,21.946,23.388,22.857,23.276,24.647,26.515,28.093,27.443,26.607,25.586,25.323,26.502,28.141,28.460,28.750,29.561,29.323,28.425,27.577,26.825,28.221,33.523,39.027,47.028,57.455,66.136,75.425,81.756,83.603,83.479,85.250,91.994,101.230,112.240,118.578,112.315,91.684,87.403,92.814,100.000,111.612,126.373,146.130,169.162,186.814,208.371
"21","          Other trucks, buses, and truck trailers",8.864,9.364,9.422,9.635,9.604,9.181,8.450,7.416,6.936,7.137,7.786,8.909,9.735,9.429,9.727,10.216,11.188,9.622,8.439,8.185,10.110,11.985,15.385,18.924,20.576,22.708,24.706,24.781,24.807,24.582,25.788,26.639,26.707,25.984,26.360,26.698,27.164,29.086,31.110,33.072,36.421,40.628,42.738,46.259,51.139,52.821,55.224,60.328,67.156,71.690,70.336,71.765,76.002,81.710,86.556,84.762,82.365,79.391,78.659,82.284,87.343,88.522,89.663,89.441,89.133,85.217,80.089,78.836,82.051,86.601,92.398,94.549,94.970,99.702,106.163,107.910,103.230,99.497,96.055,98.184,103.368,109.445,108.264,103.701,96.236,93.190,95.496,100.000,104.493,110.624,119.175,120.653,122.002,128.471
"22","        Autos",17.550,17.104,16.696,16.354,16.195,15.535,14.742,13.929,13.434,13.085,13.177,13.550,14.017,13.785,13.972,14.348,14.359,12.580,11.251,9.634,8.369,9.074,10.461,11.315,12.621,14.737,15.134,14.812,15.878,16.355,18.027,17.613,17.959,16.675,15.968,16.253,16.155,17.222,17.677,18.362,20.209,21.363,21.846,24.014,25.774,24.977,26.933,28.896,31.411,32.256,33.085,35.670,39.920,44.474,46.476,45.919,48.221,48.829,53.282,59.747,63.014,65.016,63.998,66.469,65.899,66.608,69.642,72.525,76.803,84.980,87.939,90.642,91.843,92.752,96.947,98.270,98.206,98.564,95.815,94.097,95.530,99.210,102.856,98.974,85.427,85.437,88.221,100.000,108.842,115.506,121.524,121.080,113.556,103.985
"23","        Aircraft",0.052,0.089,0.160,0.350,0.574,0.632,0.632,0.572,0.573,0.630,0.626,0.616,0.688,0.718,0.800,0.980,1.092,1.013,0.907,0.850,1.005,1.735,2.081,2.087,2.283,2.306,2.322,2.684,2.972,3.299,3.406,4.042,4.903,5.306,6.789,8.195,9.569,10.708,11.041,12.171,14.156,17.130,21.164,27.171,30.695,33.038,33.082,34.101,36.736,37.870,38.487,38.770,40.058,41.875,45.677,49.307,51.776,52.982,54.045,54.487,55.096,56.583,58.236,60.006,60.201,61.972,63.871,65.871,67.298,66.274,66.961,67.143,68.270,71.574,78.538,85.490,92.329,95.195,94.958,95.479,95.306,94.619,95.853,97.425,95.642,96.596,98.332,100.000,102.103,105.546,108.933,110.857,113.661,116.802
"24","        Ships and boats",50.398,54.786,55.569,57.935,56.745,56.247,55.258,52.548,49.754,47.303,44.662,43.495,42.479,42.964,41.795,42.638,44.318,46.037,48.386,48.211,49.604,50.981,56.824,57.211,56.017,54.707,55.497,56.540,56.955,55.489,55.094,56.051,57.913,59.338,60.227,60.616,60.450,60.451,59.940,59.949,60.468,61.191,61.963,64.080,66.535,68.716,70.299,73.071,78.717,82.186,87.916,92.701,97.454,101.453,106.566,111.169,117.422,118.439,116.114,113.189,109.335,106.026,103.634,100.803,97.757,94.921,92.264,88.862,87.391,85.339,83.276,82.141,81.653,81.443,81.346,81.974,82.038,82.876,84.045,85.764,86.736,87.415,89.735,93.537,96.106,97.599,98.568,100.000,103.285,106.368,109.961,111.176,112.548,112.933
"25","        Railroad equipment",105.938,106.234,104.923,102.607,102.210,101.882,97.181,92.189,87.122,83.660,80.175,78.390,78.867,76.195,73.987,73.712,74.517,74.653,73.175,72.657,72.015,71.310,72.890,77.588,82.305,84.161,88.003,90.610,92.275,90.853,90.050,90.530,92.510,90.161,88.337,87.787,85.755,85.513,85.511,87.674,91.318,96.191,99.516,100.060,102.649,103.097,103.855,103.887,104.655,106.524,107.547,106.821,106.764,108.238,112.362,114.889,113.422,109.906,105.544,102.459,99.176,95.766,92.029,89.581,88.489,87.482,86.162,84.587,83.616,83.959,84.699,85.372,86.620,88.694,91.501,93.731,94.015,93.532,92.622,91.968,92.579,94.022,95.651,97.243,96.384,95.398,96.265,100.000,104.361,110.601,116.751,118.878,120.046,120.852
"26","      Other equipment",5.409,5.855,6.260,6.604,7.042,7.204,6.955,6.450,5.955,5.667,5.643,5.903,6.287,6.390,6.512,6.840,7.462,7.510,7.325,7.606,8.416,9.283,10.723,12.501,13.516,14.557,15.459,16.259,16.904,17.265,18.072,18.870,19.367,19.821,20.464,20.758,21.003,21.418,22.327,23.540,25.073,26.978,28.290,29.485,30.878,32.302,33.479,35.207,37.844,40.123,41.502,42.811,44.788,47.395,50.045,51.335,52.644,52.399,51.877,52.344,52.827,53.127,53.544,54.187,55.459,56.389,55.951,55.188,55.562,56.472,57.886,59.484,61.737,64.698,67.470,70.503,72.852,74.894,77.448,80.527,84.424,88.665,92.194,94.955,94.214,95.267,97.187,100.000,102.791,106.435,107.973,108.396,109.844,112.134
"27","        Furniture and fixtures",5.267,5.764,6.252,6.631,7.171,7.429,7.341,6.970,6.598,6.362,6.206,6.198,6.326,6.297,6.385,6.670,7.124,7.140,7.000,6.910,7.127,7.861,8.685,9.271,9.680,10.122,10.823,11.384,11.818,12.403,13.226,14.100,14.695,15.230,15.773,16.319,16.727,17.220,17.965,18.854,19.930,21.275,22.455,23.408,24.613,25.547,26.098,27.495,29.030,29.864,29.932,30.308,31.545,33.210,35.107,37.114,39.072,41.160,43.477,46.671,49.855,52.920,56.239,58.839,62.170,64.447,65.296,66.774,68.155,69.074,70.913,72.761,75.916,80.146,84.981,90.285,93.752,96.345,98.711,101.032,103.656,106.400,107.875,108.237,105.177,102.551,101.031,100.000,99.217,98.978,99.604,100.609,102.138,103.752
"28","        Agricultural machinery",16.671,17.332,17.981,18.473,19.370,19.933,18.996,17.445,15.788,14.762,14.828,15.670,17.138,17.985,18.380,19.206,21.327,21.905,21.026,22.897,25.181,26.039,29.753,35.155,39.820,43.926,47.429,49.898,51.417,51.754,52.972,52.738,52.336,53.634,55.062,54.622,54.397,54.629,56.516,58.843,61.687,65.767,69.424,71.831,73.994,77.307,79.401,83.165,90.498,95.924,101.845,106.221,109.907,113.969,118.930,119.269,119.111,114.340,108.687,104.190,98.388,92.597,87.223,84.518,83.633,83.732,81.852,78.776,77.134,76.647,76.332,75.923,77.152,78.541,76.475,75.585,75.382,76.540,78.352,81.011,83.959,85.595,86.970,89.454,91.604,92.480,94.281,100.000,108.137,117.689,120.632,119.580,119.684,122.260
"29","        Construction machinery",4.003,4.672,5.418,6.080,6.612,6.806,6.521,5.749,5.000,4.593,4.588,5.061,5.735,6.007,6.183,6.678,7.333,7.321,6.972,6.932,9.081,11.507,14.001,16.890,17.808,19.021,20.338,22.005,22.901,22.908,24.065,25.944,26.294,26.725,27.779,27.601,27.229,27.204,28.572,30.824,33.636,36.797,38.549,40.335,42.528,44.027,45.184,47.781,51.831,56.002,57.053,57.420,60.452,65.457,68.581,68.147,67.091,62.690,59.553,59.330,59.900,59.974,59.050,57.842,58.734,59.331,56.396,53.752,53.204,53.700,55.033,57.326,59.977,63.677,66.886,69.733,70.653,70.559,71.024,73.000,77.678,83.928,88.236,92.578,88.135,92.606,96.277,100.000,101.627,104.893,104.898,104.615,106.088,109.484
