"Table 4.2. Chain-Type Quantity Indexes for Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19","    Structures",21.534,22.091,22.628,23.152,23.804,24.286,24.362,24.167,23.893,23.683,23.507,23.458,23.548,23.483,23.448,23.502,23.656,23.539,23.294,23.178,23.240,23.670,24.049,24.507,24.894,25.333,25.924,26.532,27.218,27.856,28.552,29.444,30.297,30.937,31.548,32.269,32.972,33.692,34.389,35.277,36.439,37.769,39.054,40.387,41.788,43.148,44.401,45.693,47.132,48.583,49.694,50.774,51.889,53.390,55.174,57.166,59.290,61.209,62.654,64.611,66.851,68.509,70.027,71.455,72.939,74.851,76.199,77.246,78.279,79.244,80.589,82.200,83.937,85.771,87.519,89.586,91.396,92.233,92.911,93.489,94.050,95.042,96.523,98.173,98.844,98.985,99.298,100.000,100.846,102.172,103.178,103.819,104.528,105.570
"20","    Intellectual property products",0.523,0.551,0.586,0.636,0.707,0.771,0.821,0.859,0.905,0.971,1.049,1.139,1.230,1.325,1.414,1.517,1.701,1.840,1.894,1.947,2.025,2.186,2.329,2.437,2.505,2.609,2.702,2.908,3.205,3.486,3.776,4.175,4.525,4.843,5.188,5.551,5.953,6.340,6.797,7.241,7.813,8.525,9.265,10.017,10.745,11.287,11.698,12.202,12.728,13.212,13.593,14.196,14.905,15.650,16.625,17.576,18.766,20.040,21.431,23.224,25.108,26.941,28.538,30.020,31.896,33.901,35.919,37.893,39.785,41.576,43.650,46.410,49.864,53.606,58.033,62.729,66.351,68.808,71.260,73.830,76.990,80.534,84.530,88.251,90.798,93.341,96.645,100.000,103.640,107.544,111.262,115.998,120.553,125.895
"","    By corporate industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","      Farms",3.388,3.427,3.472,3.504,3.541,3.529,3.424,3.269,3.127,3.037,3.028,3.083,3.160,3.210,3.228,3.292,3.425,3.386,3.325,3.349,3.414,3.560,3.842,4.147,4.410,4.660,4.832,5.174,5.480,5.879,6.300,6.727,7.052,7.459,8.134,8.770,9.313,9.912,10.710,11.480,12.316,13.273,14.167,15.053,15.848,16.698,17.362,18.136,19.459,21.132,23.275,25.129,26.947,28.741,30.702,31.535,32.071,31.627,30.947,30.241,29.650,28.890,28.379,27.963,27.811,28.140,28.158,27.728,28.346,29.894,32.062,34.363,36.799,39.781,41.978,45.350,49.636,55.286,60.644,66.193,71.013,74.459,77.870,82.275,85.785,88.927,93.205,100.000,107.666,117.221,119.986,119.959,121.529,124.395
"22","        Equipment",1.097,1.158,1.211,1.257,1.311,1.331,1.266,1.164,1.072,1.021,1.040,1.119,1.216,1.287,1.319,1.400,1.550,1.526,1.466,1.512,1.619,1.683,1.973,2.312,2.587,2.857,3.034,3.359,3.671,4.054,4.509,4.912,5.242,5.694,6.327,6.768,7.138,7.516,8.121,8.739,9.494,10.458,11.293,12.097,12.790,13.546,14.133,15.005,16.476,18.065,19.987,21.492,22.936,24.263,25.832,26.166,26.353,25.477,24.372,23.342,22.583,21.682,21.015,20.519,20.450,20.929,20.971,20.534,21.216,22.880,25.165,27.647,30.982,34.801,37.239,40.800,45.371,51.708,57.853,64.417,69.913,73.705,77.380,81.782,84.900,87.871,92.146,100.000,109.209,120.549,122.836,121.055,122.090,125.296
"23","        Structures",8.728,8.685,8.681,8.657,8.619,8.505,8.347,8.165,7.998,7.846,7.744,7.668,7.614,7.544,7.492,7.415,7.363,7.299,7.261,7.222,7.173,7.491,7.776,8.024,8.254,8.448,8.608,8.980,9.264,9.681,10.012,10.482,10.791,11.079,11.801,12.854,13.772,14.857,16.054,17.127,18.086,18.952,19.921,20.936,21.922,22.944,23.752,24.324,25.366,27.205,29.774,32.337,34.918,37.678,40.435,42.336,43.637,44.229,44.591,44.679,44.497,44.087,43.946,43.714,43.368,43.322,43.258,42.840,43.204,44.333,46.054,47.766,47.981,49.093,50.787,53.756,57.472,61.773,65.627,69.300,72.946,75.831,78.825,83.243,87.449,90.914,95.196,100.000,104.853,111.257,114.845,117.745,120.166,122.487
"24","        Intellectual property products",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.313,0.571,0.848,0.947,0.620,0.409,0.272,0.181,0.121,0.081,3.339,10.534,21.537,34.841,54.744,90.601,127.099,168.348,210.397,290.908,258.339,207.917,179.853,150.713,133.048,109.302,97.548,89.337,79.855,75.012,76.949,80.727,79.840,85.348,100.000,109.006,123.031,110.397,100.979,106.061,116.066
"25","      Manufacturing",8.476,8.682,8.883,9.190,9.666,9.880,9.814,9.544,9.422,9.386,9.415,9.606,9.971,10.003,10.127,10.460,11.079,11.272,11.201,11.342,11.787,12.739,13.795,14.554,14.829,15.135,15.866,16.688,17.498,18.219,18.910,20.106,21.233,21.676,22.040,22.753,23.383,24.150,25.010,26.232,28.052,30.487,32.623,34.626,36.674,38.404,39.672,41.096,42.814,45.099,46.648,48.139,49.804,51.821,53.868,55.952,58.169,59.423,60.089,61.698,63.614,64.720,65.510,66.125,67.480,68.901,70.093,71.238,72.114,73.564,75.851,78.782,81.632,84.402,86.592,88.903,90.704,91.000,90.901,91.017,91.754,92.967,95.252,97.357,97.451,97.647,98.653,100.000,101.699,103.265,104.730,106.083,107.172,108.501
"26","        Equipment",7.636,7.693,7.736,7.846,8.135,8.268,8.131,7.795,7.614,7.587,7.728,8.089,8.628,8.747,8.995,9.460,10.055,10.384,10.534,11.097,12.006,13.220,14.926,16.274,16.763,17.213,18.164,19.107,19.958,20.683,21.331,22.441,23.543,23.646,23.686,24.095,24.389,24.944,25.611,26.895,28.933,31.656,33.835,35.828,37.851,39.479,40.632,42.334,44.381,47.443,49.413,51.316,53.602,56.187,58.742,61.193,63.840,64.768,64.832,66.398,68.315,69.071,69.432,69.749,71.216,72.786,74.046,75.158,76.161,78.011,80.772,83.840,86.599,89.758,91.896,93.972,94.916,94.874,94.386,93.885,94.175,95.078,97.147,99.288,98.042,97.400,98.539,100.000,101.565,102.915,104.492,105.362,106.306,107.842
"27","        Structures",23.748,24.612,25.496,26.722,28.351,28.980,28.778,28.099,27.812,27.516,27.087,26.969,27.341,27.016,26.799,27.041,28.144,27.936,27.327,26.823,27.040,28.666,29.826,30.381,30.554,30.781,31.953,33.173,34.220,35.172,36.203,38.139,40.001,40.788,41.306,42.556,43.736,44.893,46.180,47.718,50.188,53.714,56.877,59.741,62.718,65.456,67.525,69.052,71.109,73.856,75.820,77.494,79.064,81.437,83.797,86.270,88.730,90.552,91.314,92.407,93.739,94.417,94.760,95.231,96.220,97.119,97.683,98.310,98.657,99.281,100.707,102.764,104.402,105.242,105.935,106.864,107.810,107.189,105.869,104.652,103.534,102.590,102.807,102.499,101.767,100.771,99.978,100.000,100.278,100.494,100.585,100.238,99.870,99.447
