Table 4.4. Current-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: August 8, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
18,    Equipment,2.6,2.8,2.9,2.9,3,2.9,2.7,2.4,2.2,2.2,2.3,2.3,2.5,2.6,2.6,2.7,3.1,3.5,3.4,3.5,3.6,4.2,5.3,6.3,7.1,7.7,8.9,9.4,10.1,10.8,11.4,12.9,14.4,15.7,16.2,16.5,17,17.6,18.6,19.7,21.3,23.6,26.2,29.1,32.3,35.8,39,42.2,46.6,54.4,65.8,73.3,83,94.9,109.6,128,145.9,160.7,168.8,177.4,190.3,204.1,217.5,231.8,246.1,259.5,269.6,276.6,286.3,303.3,326.8,346,365.2,382.8,405.8,434.9,451.5,455.9,456.1,469,492,517.3,546.2,567.6,567,563.7,584.2,611,637.6,664.1,688.6,706.9,729.6,762.4
19,    Structures,1.8,1.9,1.9,1.9,2,1.9,1.8,1.6,1.6,1.6,1.6,1.7,1.9,1.8,1.8,1.9,2,2.2,2.4,2.4,2.5,2.8,3.4,3.9,4,4.1,4.7,5,5.2,5.4,5.7,6.3,6.9,7,7.3,7.4,7.5,7.8,7.9,8.2,8.7,9.3,9.9,10.8,11.8,13,14.3,15.7,18.1,21.7,25.3,27.2,30.6,34.6,40,45.1,54.1,61.1,60.5,62.4,65.8,67.8,68.2,73,77.2,81.4,84.9,85.4,88.8,92.9,98.4,102.7,109.5,117.6,122,129,140.5,150.6,157.9,172.1,198.9,228.1,245.1,264.8,261.1,260.5,272.1,289.1,296.5,319.1,330.1,327.3,337.1,349.9
20,    Intellectual property products,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.2,2.4,2.8,3.3,3.7,4.1,4.5,4.9,5.3,5.8,6.4,7,7.8,8.8,10,11.4,12.9,14.2,15.4,17,19.7,22.2,24.2,26.5,29.5,33.5,38.7,44.5,50.5,56.3,63,70.4,77.5,85,93.7,102.3,112.2,123.5,130.7,140.3,149.6,163.3,175.6,193.2,212.2,239.3,272,293.6,304.8,314.9,328,346.8,369,392.6,419,430.7,442,463.5,487.5,510.9,538.8,568.1,590.3,630.8,676.9
,    By corporate industry group:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,      Farms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.8,1.8,2,2.3,2.6,2.9,3.2,3.5,3.8,4.2,4.7,5.3,6.1,6.9,7.5,8.1,8.9,9.4,9.8,10.5,11.4,12.5,14,15,15.2,15.4,16
22,        Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.8,1,1.2,1.3,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7,2,2.2,2.5,2.8,3.1,3.4,3.8,4.3,4.8,5.5,6.2,6.8,7.3,8,8.6,8.9,9.6,10.4,11.5,12.8,13.7,13.8,14,14.4
23,        Structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6
24,        Intellectual property products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,      Manufacturing,1.1,1.2,1.2,1.2,1.3,1.2,1.1,1,1,1.1,1.1,1.2,1.4,1.4,1.4,1.6,1.8,2.1,2.2,2.3,2.4,2.8,3.4,4.1,4.4,4.7,5.4,5.8,6.2,6.6,7.1,8.1,9.2,9.9,10.3,10.7,11.2,11.7,12.3,13.1,14.2,15.7,17.5,19.4,21.6,23.9,26,27.9,30.7,35.7,42.1,46.3,51.6,57.6,65.5,75.7,86,94.3,98.9,103.8,110.9,118.5,125.6,133.4,140.2,148.4,156.4,162.3,167.9,175.3,188.5,200,213.8,226.5,239.7,253.9,262.5,264.9,265.4,269.9,280.1,292.3,308.6,328.6,334,336.8,348.4,361.3,371.9,385.2,397.5,401.9,419.1,439.6
26,        Equipment,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.4,1.4,1.4,1.5,1.8,2.2,2.6,2.9,3.1,3.6,3.8,4.1,4.3,4.6,5.1,5.8,6.2,6.3,6.3,6.4,6.5,6.8,7.1,7.7,8.5,9.5,10.5,11.4,12.5,13.4,14.1,15.3,17.7,21.8,24.4,27.8,31.3,35.7,41.4,47,51,52.3,53.4,56.3,60,63.3,66.6,69.6,73.8,77.5,80.2,82.4,85.7,91.2,95.6,99.2,102.4,105.4,108.4,110.2,110,109.5,110.6,113.4,116.4,121.2,127.6,129.1,128.2,131.5,135.5,138.2,141,142.6,143.5,145.5,149.7
