"Table 5.3.4. Price Indexes for Private Fixed Investment by Type"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","Residential",9.402,10.192,10.327,10.582,11.340,11.652,11.736,11.783,12.028,12.335,12.368,12.338,12.374,12.458,12.477,12.497,12.399,12.496,12.846,13.312,13.770,14.498,15.518,16.016,16.943,17.975,19.571,21.593,23.590,25.117,27.683,31.082,34.593,38.325,41.425,43.646,44.680,46.003,47.267,49.351,51.486,53.278,55.020,56.288,57.021,57.723,60.074,62.247,64.473,65.856,67.444,69.223,71.816,75.004,78.564,80.510,84.325,90.243,96.706,102.355,103.708,102.249,98.671,98.317,99.049,100.000,105.054,111.118,114.129,118.148,123.510,130.488
"21","    Structures",9.064,9.831,9.972,10.223,10.956,11.264,11.347,11.398,11.645,11.957,11.992,11.966,11.992,12.077,12.101,12.125,12.032,12.130,12.482,12.948,13.403,14.121,15.130,15.621,16.541,17.570,19.164,21.164,23.119,24.625,27.182,30.563,34.051,37.761,40.825,43.004,44.020,45.349,46.635,48.738,50.880,52.682,54.435,55.711,56.462,57.176,59.551,61.727,63.975,65.367,66.973,68.776,71.413,74.637,78.237,80.212,84.100,90.111,96.613,102.299,103.651,102.170,98.539,98.302,99.100,100.000,105.253,111.595,114.786,119.010,124.596,131.698
"22","        Permanent site",8.699,9.447,9.586,9.831,10.537,10.833,10.918,10.972,11.220,11.522,11.565,11.556,11.556,11.634,11.636,11.693,11.583,11.667,12.074,12.587,13.041,13.767,14.633,14.978,15.885,17.010,18.632,20.472,22.367,23.789,26.230,29.721,33.123,36.775,39.755,41.877,42.696,43.858,44.925,46.941,48.890,50.613,52.202,53.315,53.703,54.289,56.824,59.319,61.711,62.903,64.839,66.966,69.929,73.170,76.680,78.843,83.076,89.925,96.733,103.342,104.883,102.656,99.545,98.591,98.984,100.000,105.122,111.782,116.367,121.558,127.294,133.396
"23","            Single family","---","---","---","---","---","---","---","---","---","---","---",12.081,12.081,12.167,12.169,12.231,12.116,12.199,12.619,13.160,13.630,14.391,15.293,15.677,16.614,17.792,19.480,21.428,23.420,24.889,27.479,31.117,34.867,38.840,41.919,43.598,43.933,45.109,46.004,47.907,49.922,51.769,53.672,55.127,55.406,55.966,58.709,61.451,64.025,65.201,67.091,68.852,71.981,75.307,79.103,81.290,85.804,93.134,100.174,106.547,107.652,104.312,100.065,98.445,99.150,100.000,105.517,112.679,115.533,120.478,125.824,131.254
"24","            Multifamily","---","---","---","---","---","---","---","---","---","---","---",10.161,10.161,10.206,10.211,10.253,10.157,10.243,10.614,11.050,11.462,12.097,12.863,13.128,13.942,14.929,16.366,17.940,19.580,20.914,22.867,26.004,28.230,30.962,33.643,36.730,38.753,39.866,41.384,43.711,45.434,46.646,46.776,46.275,47.252,48.063,49.117,49.619,50.857,52.258,54.614,59.314,61.351,64.277,66.070,68.239,70.851,74.787,80.525,89.308,93.528,96.319,97.450,99.839,97.912,100.000,102.929,107.138,119.295,125.501,132.924,142.265
"25","        Other structures7",9.724,10.518,10.656,10.914,11.692,12.021,12.096,12.134,12.366,12.696,12.708,12.642,12.731,12.834,12.902,12.855,12.805,12.934,13.138,13.487,13.936,14.623,15.931,16.723,17.655,18.411,19.873,22.185,24.229,25.861,28.596,31.723,35.327,39.108,42.286,44.543,45.843,47.440,49.081,51.309,53.744,55.659,57.652,59.165,60.410,61.297,63.473,65.234,67.302,68.961,70.156,71.563,73.799,77.021,80.761,82.509,85.992,90.967,97.113,101.635,102.773,101.992,98.013,98.156,99.162,100.000,105.338,111.451,113.587,117.072,122.544,130.423
"26","    Equipment",58.803,62.134,60.042,59.781,63.936,63.771,63.593,62.545,60.699,58.153,57.615,56.743,59.097,58.448,57.391,56.137,55.180,54.615,53.468,52.649,52.753,53.884,55.102,56.172,57.084,57.271,57.620,61.183,67.063,70.477,72.746,76.270,80.641,85.885,92.083,97.760,100.192,100.994,100.386,100.908,102.339,103.354,104.296,105.067,104.615,104.527,105.083,107.077,107.413,107.983,107.850,107.222,105.506,105.233,105.282,104.620,101.688,98.934,101.545,103.853,105.242,105.168,104.285,98.891,97.105,100.000,96.931,91.705,87.490,83.295,79.852,82.012
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","    Private fixed investment in structures",7.601,8.327,8.389,8.563,9.310,9.566,9.684,9.661,9.865,10.361,10.575,10.485,10.522,10.561,10.546,10.593,10.581,10.694,11.004,11.408,11.786,12.399,13.253,13.891,14.824,15.806,17.153,19.201,21.223,22.446,24.615,27.399,30.550,33.639,37.392,39.956,39.784,40.563,41.621,42.989,44.364,46.065,47.715,49.023,49.789,50.148,51.986,53.862,55.965,57.263,58.977,61.010,63.166,65.869,69.155,71.323,74.480,79.861,86.805,93.536,96.389,97.978,95.402,94.960,97.110,100.000,103.282,109.315,112.104,114.478,118.849,124.525
"28","    Private fixed investment in new structures",7.318,8.018,8.078,8.246,8.968,9.214,9.329,9.305,9.501,9.984,10.195,10.107,10.144,10.181,10.164,10.210,10.202,10.315,10.620,11.012,11.381,11.975,12.780,13.406,14.313,15.264,16.558,18.547,20.526,21.682,23.723,26.373,29.376,32.349,36.054,38.549,38.283,38.958,39.879,41.026,42.148,43.759,45.308,46.597,47.342,47.647,49.352,51.057,53.130,54.373,56.165,58.187,60.326,62.872,65.910,68.060,71.095,76.681,83.672,90.889,94.144,96.500,94.327,94.059,96.860,100.000,102.633,108.298,110.787,112.747,116.797,121.677
