"Table 6.2B. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2018"
"Line","","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"53","            Banking",1331,1415,1531,1711,1890,2078,2229,2395,2628,2853,3074,3259,3549,3767,4025,4276,4586,4881,5230,5847,6538,7426,8483,9158,10023,11065,12623,14299,15790,17315,19270,21893,25331,28676,32843,35090,37344,40308,43709,46491
"54","            Credit agencies other than banks",335,374,418,482,556,625,701,801,916,1002,1070,1179,1318,1437,1553,1725,1849,1982,2125,2249,2383,2597,2763,3028,3374,3814,4268,4749,5329,6050,7013,8088,9019,10001,10876,12907,15174,17584,21150,23671
"55","            Security and commodity brokers",253,249,322,351,351,361,460,561,577,587,684,868,886,1145,1076,1044,1149,1299,1588,2013,2761,2989,2601,3075,3491,3265,3070,3584,4181,4611,5153,5990,8098,9825,11751,16031,17419,20205,26103,31350
"56","            Insurance carriers",1668,1805,1985,2179,2397,2659,2855,3008,3273,3596,3898,4194,4441,4646,4937,5302,5713,6090,6527,7117,7691,8241,9085,9600,10501,11437,12580,14045,15200,16880,19074,21241,23671,25849,28481,30559,33093,36385,40699,44770
"57","            Insurance agents, brokers, and service",354,386,430,486,529,585,639,682,759,823,889,954,1033,1111,1192,1275,1372,1470,1621,1726,1891,2079,2340,2570,2830,3226,3601,4186,4692,5532,6482,7540,8501,9378,10325,11167,12450,14173,15994,18375
"58","            Real estate",1147,1117,1244,1319,1350,1418,1528,1688,1831,1824,1809,1968,2004,2067,2197,2355,2500,2681,2908,3028,3455,3937,4479,5066,5855,6920,7253,7455,8427,9682,12140,13969,15432,16893,16589,18777,22071,25020,27696,30224
"59","            Holding and other investment offices",69,70,66,72,87,89,97,106,119,130,150,167,170,189,203,209,230,255,289,322,400,491,573,641,749,931,1128,1316,1493,1775,2311,2701,3193,3810,4520,5082,5924,6852,7933,9728
"60","        Services",13148,13567,14453,15793,16897,18151,18889,20760,22833,24642,26106,28446,31004,32969,35679,38219,41443,45081,50209,55548,61739,70262,77460,84387,94525,106937,119467,132862,148356,166538,194221,222478,254638,290193,322710,357363,401235,440979,484523,542737
"61","            Hotels and other lodging places",948,952,968,1036,1111,1173,1199,1254,1323,1426,1439,1542,1648,1681,1789,1923,2097,2290,2542,2802,3091,3475,3819,4097,4525,5129,5574,6007,6718,7385,8733,10072,11477,13175,14206,15449,17340,18873,20663,22280
"62","            Personal services",1821,1835,1895,2024,2124,2231,2296,2397,2559,2681,2721,2876,3017,3123,3281,3435,3675,3931,4279,4560,4823,5079,5190,5174,5223,5539,5768,6013,6516,7136,8138,8901,9623,10456,11060,12108,13320,14407,15489,16627
"63","            Business services",1097,1139,1267,1459,1642,1846,1982,2225,2614,2929,3169,3621,4097,4520,5082,5516,6213,6984,8035,8990,9999,11605,12596,13011,14491,16633,18741,19840,22572,25954,32170,38780,45570,53004,58883,67005,80440,92231,103849,117402
"64","            Auto repair, services, and parking",573,543,537,566,601,633,637,681,755,829,878,989,1090,1143,1234,1342,1461,1575,1707,1860,2060,2333,2574,2808,3133,3653,3969,4336,4959,5639,6912,7974,8494,9290,10063,10993,12681,14075,15314,16556
"65","            Miscellaneous repair services",369,332,317,396,437,440,406,441,507,554,523,595,655,682,717,755,821,899,1024,1117,1212,1350,1466,1568,1720,2032,2333,2481,2776,3118,3835,4540,5097,5659,5751,5856,6762,7203,7444,7792
"66","            Motion pictures",683,688,688,712,723,713,752,806,819,815,774,807,810,859,841,858,918,1028,1128,1183,1268,1388,1391,1400,1481,1595,1751,1874,2144,2423,3088,3617,3889,4334,4602,5119,5689,6285,6706,7805
"67","            Amusement and recreation services",611,618,627,652,685,739,783,844,901,967,1076,1176,1294,1382,1485,1580,1689,1771,1915,2077,2260,2446,2658,2894,3234,3680,4145,4578,5158,5734,6674,7540,8539,9450,10375,11320,12185,12985,14060,15339
"68","            Health services",1517,1651,1868,2117,2354,2618,2869,3153,3398,3778,4216,4663,5134,5560,6082,6756,7462,8197,9257,10806,12721,15197,18136,21232,25302,29325,34380,40888,46499,52986,61266,70001,81966,95455,109702,121004,131370,141450,154191,176030
"69","            Legal services",228,244,276,307,342,382,412,450,495,532,575,632,695,743,810,877,962,1042,1151,1260,1442,1664,1979,2299,2740,3393,4008,4752,5508,6410,7256,8611,10342,12444,15088,17698,20479,23615,27337,32850
"70","            Educational services",826,877,922,964,996,1057,1133,1226,1356,1510,1649,1832,2022,2276,2581,2853,3150,3556,4032,4442,5062,5953,6830,7686,8695,9268,9908,10485,10920,11250,12118,13392,15029,16811,18378,20472,22631,24642,26404,28928
"71","            Social services and membership organizations",1514,1724,1863,2055,2199,2434,2630,2840,3063,3330,3622,4072,4525,4915,5362,5652,5970,6397,7088,7771,8381,9506,9968,10874,11709,12968,14119,15720,16823,18460,20882,22953,25564,27579,29220,32105,35040,37495,41308,45095
"72","                Social services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",4842,5507,6061,7174,8233,9409,10379,10870,12409,13806,15575,17499,19591
"73","                Membership organizations","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",10878,11316,12399,13708,14719,16155,17200,18350,19696,21235,21920,23809,25505
"74","            Miscellaneous professional services",598,608,653,844,1069,1195,1220,1391,1776,1969,1961,2089,2220,2351,2608,2841,3109,3443,4028,4498,5043,5827,6352,6790,7635,8901,10182,11253,12353,14114,16611,19718,22944,26372,29133,31952,36005,40376,44018,48305
"75","            Private households",2364,2357,2573,2662,2615,2691,2571,3053,3268,3323,3503,3553,3797,3734,3807,3831,3916,3968,4022,4182,4377,4439,4501,4555,4637,4819,4588,4634,5411,5931,6538,6378,6103,6163,6250,6283,7292,7341,7739,7729
"76","    Government",22698,25107,26873,34965,39885,40887,41525,43424,45942,48992,52655,54709,58407,62423,66622,71111,76810,82813,93288,102885,115304,126433,140552,154644,168855,181448,196626,216960,231822,249303,271446,293938,323994,358046,387568,412280,442951,479211,507641,537594
"77","        Federal",13085,14461,15499,22516,26098,25910,25162,25776,26436,27464,28871,29370,30536,31915,33851,35532,38003,40184,45696,50117,55210,59071,64343,68887,73494,76365,81059,87009,92025,97382,104766,111056,122163,136617,146900,154085,165133,175435,179735,184833
"78","            General government",11240,12436,13383,20160,23406,23255,22464,22937,23466,24267,25339,25750,26622,27743,29484,30800,32980,34775,39798,43843,48255,51433,55172,58823,62622,64575,67770,72534,76454,80865,87134,91950,100753,112226,121999,127711,136539,144952,149078,153075
"79","                Civilian",5181,5574,5954,7945,8947,8996,8606,9175,9798,10433,11289,11594,12385,13214,14099,14981,15956,16901,18598,20225,22290,23807,26508,29832,32003,33768,36323,40006,43272,46580,51084,53913,58507,62606,66162,68851,73423,77555,78456,79671
"80","                Military2",6059,6862,7430,12216,14459,14259,13858,13763,13668,13834,14050,14156,14238,14530,15385,15819,17024,17874,21201,23618,25965,27625,28664,28991,30619,30807,31447,32528,33182,34285,36050,38037,42246,49619,55837,58860,63116,67397,70622,73404
"81","            Government enterprises",1845,2025,2115,2355,2692,2655,2698,2838,2970,3197,3532,3620,3913,4171,4367,4732,5024,5409,5898,6274,6955,7639,9171,10064,10872,11790,13289,14475,15572,16517,17632,19106,21410,24392,24901,26374,28594,30483,30657,31759
"82","        State and local",9613,10645,11373,12449,13787,14977,16363,17647,19506,21528,23785,25338,27870,30508,32771,35579,38807,42629,47592,52768,60094,67362,76209,85757,95361,105083,115567,129951,139797,151921,166679,182882,201831,221429,240668,258195,277818,303776,327906,352761
"83","            General government",8922,9882,10554,11526,12650,13763,15103,16305,18124,20087,22220,23554,25904,28507,30559,33229,36211,39818,44563,49542,56337,63159,71501,80459,89544,98513,108069,121288,130628,142130,155669,170632,187864,205869,223602,239559,257789,281673,304182,327802
"84","                Education","---","---","---","---",5755,6293,6985,7621,8557,9627,10782,11718,13145,14497,15758,17418,19277,21342,24177,27027,30963,34923,39548,44290,48989,53373,58124,65306,70678,76441,82144,89840,97771,106887,115676,123071,133110,146191,159067,170584
"85","                Other","---","---","---","---",6895,7471,8118,8684,9566,10460,11437,11836,12758,14010,14801,15811,16935,18475,20386,22515,25375,28236,31953,36169,40555,45140,49945,55982,59950,65688,73525,80792,90093,98982,107926,116488,124679,135483,145114,157217
"86","            Government enterprises",691,764,820,923,1137,1213,1260,1342,1383,1441,1565,1785,1967,2001,2212,2350,2595,2811,3029,3227,3756,4203,4708,5298,5817,6570,7499,8663,9169,9791,11010,12250,13967,15560,17066,18636,20028,22103,23724,24960
"87","Rest of the world",86,58,78,14,2,-7,-57,-70,-82,-78,-72,-81,-155,-144,-95,-63,-54,5,24,30,12,22,23,21,-1,-13,-22,-43,-37,-62,-99,-71,-98,-156,-192,-173,-211,-215,-1782,-1356
"88","    Receipts from the rest of the world","---","---","---","---","---","---","---","---","---","---","---",153,159,167,173,178,187,196,205,213,223,237,251,268,282,295,330,357,385,402,404,430,465,511,540,574,619,646,908,994
"89","    Less:  Payments to the rest of the world","---","---","---","---","---","---","---","---","---","---","---",234,314,311,268,241,241,191,181,183,211,215,228,247,283,308,352,400,422,464,503,501,563,667,732,747,830,861,2690,2350
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","  Households and institutions",5604,5933,6454,6923,7245,7802,8116,9116,9862,10578,11535,12404,13894,14463,15625,16657,17868,19316,21261,23384,26086,29477,32400,35596,38945,43010,47143,51965,57057,62371,69498,76925,86529,96845,107323,118128,129915,139539,152117,171035
"91","  Nonfarm business",115462,113208,124979,144150,154917,167686,165907,179685,195295,205008,202780,221250,231925,236628,253310,266373,285512,307943,339980,361362,396293,436344,460036,485886,535874,601470,658765,695004,776901,872728,996391,1128896,1238002,1368786,1430236,1517604,1682091,1811471,1929198,2062438
"Legend / Footnotes:"
"1. Beginning with 1987, reflects the reclassification of air couriers from trucking and warehousing to transportation by air."
"2. Includes Coast Guard."
"Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC)."
