"Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    70","    Management of companies and enterprises",3579,3972,3972,4435,5107,5378,5748,5689,6314,6609,6952,6841,7610,7802,7992,8702,9079,9802,10621,11658,12228,13390,14268,14683,15753,17179,18963,20616,22748,25692,28981,32966,36154,39862,45430,47365,53644,61603,68407,74534,77299,73882,78376,81074,82001,85586,93092,97006,103705,112513,126705
"    71","    Administrative and waste management services",1314,1440,1531,1724,1995,2193,2418,2571,2829,3130,3427,3652,4045,4319,4660,5073,5544,6090,6694,7496,8061,8773,9828,10584,11451,12889,14784,16631,18020,20829,24515,28877,33972,38209,43512,46385,52557,62218,70205,78137,87777,98153,110078,122823,123533,136833,145017,158580,174641,193948,215524
"    72","      Administrative and support services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",4273,4730,5224,5900,6412,6953,7859,8498,9082,10222,11825,13456,14529,16877,20132,23810,28561,32665,37643,40255,45616,54592,61411,68161,76641,85628,96172,107788,108322,120124,126930,138865,154034,172685,193590
"    73","      Waste management and remediation services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1271,1360,1471,1595,1649,1820,1969,2085,2369,2668,2959,3175,3491,3952,4383,5067,5411,5543,5869,6129,6941,7626,8795,9976,11136,12525,13906,15035,15211,16709,18087,19715,20608,21264,21935
"    74","  Educational services, health care, and social assistance",4600,5179,5458,5938,6556,7094,7790,8080,9416,10040,11081,12145,13441,14212,15253,16736,17960,19914,21702,24414,27682,31216,35806,40465,44949,50563,56484,63486,73293,82852,92508,104622,118443,134298,152796,169310,190331,207963,227233,246986,279504,303284,339548,378223,414633,449813,482058,509884,528990,549078,581189
"    75","    Educational services",815,991,1051,1112,1179,1218,1294,1390,1501,1681,1853,2000,2177,2384,2651,2978,3250,3608,4064,4609,5049,5690,6628,7548,8512,9669,10573,11230,12203,12692,13201,14455,15964,17942,19623,21217,24182,26678,28814,30489,33622,35894,39005,41449,45665,49065,52129,56116,59624,63097,71750
"    76","    Health care and social assistance",3785,4188,4407,4826,5377,5876,6497,6691,7914,8359,9228,10146,11265,11828,12602,13759,14709,16306,17638,19805,22633,25526,29178,32917,36437,40894,45911,52256,61091,70160,79307,90167,102479,116356,133173,148093,166149,181285,198418,216497,245882,267390,300543,336774,368968,400749,429929,453768,469366,485980,509439
"    77","      Ambulatory health care services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",7129,7929,8571,9594,10934,12314,14064,15908,17608,19762,22082,25137,29329,33693,38177,43011,48136,54064,61965,67867,76636,85019,93990,103434,121166,132891,148945,167280,183022,199555,213410,227293,235620,242322,251234
"    78","      Hospitals","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    79","      Nursing and residential care facilities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
