"Table 5.8.5B. Private Inventories and Domestic Final Sales by Industry"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018"
"Line","","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"18","        Nondurable goods industries",681.2,686.2,690.2,697.3,702.8,702.2,699.5,694.9,699.1,706.7,717.0,731.2,748.7,764.7,774.7,782.3,804.3,814.9,811.6,798.4,782.7,776.8,782.4,800.4,816.0,840.0,832.7,851.7,862.0,882.3,904.2,911.1,925.7,952.3,958.1,987.8,1008.9,1005.8,1029.1,1044.4,1052.2,1086.2,1116.7,1137.9,1183.7,1238.6,1324.8,1287.8,1137.1,1109.1,1105.7,1092.5,1118.3,1142.1,1137.2,1177.4,1237.3,1305.7,1331.6,1326.4,1338.4,1353.0,1331.5,1366.9,1366.0,1354.7,1363.4,1378.0,1396.0,1444.2,1446.4,1439.7,1418.8,1399.7,1418.0,1401.6,1389.5,1388.9,1407.2,1386.9,1420.3,1450.8,1440.9,1429.2,1473.6,1495.9,1496.0,1497.4,1493.8
"19","    Nonfarm industries",1148.1,1155.5,1167.0,1176.7,1191.0,1203.9,1208.6,1212.8,1221.8,1237.0,1251.5,1276.1,1309.1,1330.8,1355.4,1374.9,1392.7,1386.9,1375.6,1355.1,1321.5,1305.2,1321.0,1341.4,1359.9,1396.9,1387.5,1389.7,1409.3,1443.7,1479.5,1515.6,1542.9,1588.2,1599.2,1635.7,1671.6,1694.3,1742.6,1765.9,1777.1,1806.0,1844.6,1861.8,1913.8,1978.8,2070.5,2041.1,1860.2,1789.5,1758.4,1729.8,1752.8,1788.0,1800.5,1850.5,1911.8,1988.2,2039.8,2039.6,2050.3,2088.9,2089.3,2141.4,2154.5,2163.4,2164.7,2193.2,2230.8,2273.9,2289.6,2301.4,2287.0,2274.0,2305.0,2308.3,2312.4,2305.3,2340.1,2344.6,2388.8,2423.2,2418.0,2446.6,2497.2,2539.9,2561.0,2591.1,2614.0
"20","    Wholesale trade",285.1,289.4,294.7,297.4,303.0,306.9,306.8,309.2,312.2,316.2,318.8,326.2,334.8,342.2,348.3,351.2,357.7,353.9,351.0,343.4,335.7,334.3,336.4,343.1,343.6,346.9,344.0,346.5,355.1,365.3,374.1,384.7,392.2,409.4,415.3,424.4,432.7,443.7,461.9,468.2,473.9,485.3,494.3,501.0,518.2,541.5,575.2,571.7,526.5,503.5,489.2,473.5,482.1,490.5,496.5,521.1,544.9,567.5,590.0,591.2,597.4,610.3,611.3,638.2,640.4,649.1,646.1,650.0,662.1,678.2,684.2,689.1,690.7,690.9,700.5,697.8,694.1,690.6,699.8,692.3,707.9,711.6,713.7,727.2,738.1,754.0,759.6,772.5,786.9
"21","        Merchant wholesale trade",242.4,246.5,252.0,254.6,259.3,263.6,264.1,266.7,269.4,273.1,274.3,280.3,287.6,293.2,297.9,299.5,305.2,303.0,301.4,296.5,291.1,290.7,292.6,298.5,297.8,300.8,298.6,300.8,308.4,317.4,324.4,332.9,340.1,352.0,356.5,363.8,371.6,378.7,393.0,399.8,405.6,414.8,420.6,426.7,440.6,454.6,476.5,477.0,443.1,426.8,414.5,401.6,410.2,414.5,418.4,439.3,458.1,473.9,492.1,493.1,498.9,508.8,512.3,533.4,535.6,542.3,540.4,543.3,554.8,569.5,574.4,577.8,583.4,584.7,591.9,590.5,587.2,584.9,591.6,584.6,597.8,602.6,606.5,616.8,624.8,641.6,645.0,658.3,674.4
"22","            Durable goods industries",152.9,155.6,160.5,161.3,163.7,167.3,167.7,170.6,171.9,174.5,176.2,178.5,183.6,185.7,190.2,190.7,192.2,189.8,184.7,180.0,175.2,173.2,173.4,175.1,173.6,175.6,175.1,174.4,178.7,185.8,192.1,200.7,206.2,213.1,216.4,219.0,226.4,232.1,242.3,247.7,250.3,255.4,255.2,255.2,258.6,267.7,278.0,283.7,270.1,254.1,241.5,233.9,231.3,235.6,236.7,243.0,250.5,259.4,269.6,275.5,279.0,286.5,291.5,296.9,303.2,307.4,304.9,310.3,317.7,322.0,328.8,335.2,335.6,337.9,338.0,335.2,333.3,331.8,332.2,330.8,337.8,341.3,343.8,352.2,355.7,364.3,370.0,378.8,395.5
"23","            Nondurable goods industries",89.5,90.9,91.5,93.3,95.7,96.3,96.4,96.2,97.6,98.6,98.2,101.7,104.0,107.5,107.8,108.8,113.0,113.2,116.6,116.5,115.8,117.4,119.2,123.3,124.3,125.2,123.5,126.5,129.8,131.6,132.3,132.2,133.8,138.8,140.1,144.7,145.2,146.6,150.7,152.1,155.3,159.4,165.3,171.5,182.0,186.9,198.5,193.3,173.0,172.7,173.0,167.8,178.8,178.9,181.6,196.3,207.7,214.5,222.4,217.7,219.9,222.4,220.8,236.5,232.4,234.9,235.4,233.1,237.1,247.5,245.6,242.5,247.8,246.8,253.9,255.3,254.0,253.1,259.4,253.7,260.0,261.3,262.7,264.5,269.1,277.3,275.1,279.5,278.9
"24","        Nonmerchant wholesale trade",42.7,42.9,42.7,42.8,43.6,43.3,42.8,42.5,42.7,43.1,44.5,46.0,47.3,49.0,50.3,51.7,52.5,50.9,49.6,46.9,44.7,43.6,43.8,44.6,45.7,46.1,45.5,45.7,46.7,47.9,49.8,51.8,52.1,57.4,58.8,60.6,61.1,65.0,69.0,68.4,68.3,70.6,73.8,74.3,77.6,87.0,98.7,94.8,83.4,76.7,74.8,71.8,72.0,76.0,78.1,81.8,86.7,93.6,97.9,98.0,98.5,101.5,99.0,104.7,104.8,106.8,105.7,106.7,107.3,108.8,109.8,111.3,107.3,106.2,108.6,107.3,106.9,105.7,108.2,107.7,110.1,109.0,107.1,110.5,113.3,112.4,114.5,114.2,112.5
"25","        Final sales of domestic business2",481.8,487.3,493.7,505.5,509.9,514.7,525.0,532.7,543.3,549.1,558.1,566.8,576.3,587.6,597.0,602.6,608.5,613.2,617.8,615.4,621.2,620.2,622.9,626.9,628.4,633.9,643.6,661.3,670.2,677.6,686.2,697.8,711.2,723.3,737.9,753.1,758.0,775.5,783.8,789.6,802.5,814.1,822.8,831.1,838.7,833.8,841.3,837.1,816.6,809.5,804.5,808.2,808.6,811.4,822.4,828.2,844.1,849.3,861.1,874.6,882.6,898.8,908.7,915.3,926.3,937.5,940.6,952.6,971.7,974.2,995.0,1014.8,1023.8,1024.7,1041.8,1048.9,1050.7,1056.4,1072.9,1083.1,1090.3,1103.9,1116.4,1129.1,1147.0,1157.7,1186.4,1192.4,1205.8
"26","        Final sales of goods and structures of domestic business2",292.3,295.6,299.2,307.5,308.9,310.9,317.1,323.1,331.3,333.5,340.0,344.3,349.2,355.2,360.3,362.7,364.4,365.7,369.9,368.0,372.6,368.9,367.2,368.6,367.0,369.9,375.5,389.6,395.3,396.8,401.7,409.0,416.5,423.3,433.0,442.6,441.2,455.0,457.5,458.7,465.0,469.3,474.3,476.2,477.7,470.3,472.0,467.7,449.3,445.0,442.1,442.8,438.9,436.4,442.6,443.3,454.4,454.4,461.1,470.5,477.0,487.5,493.8,499.0,504.9,512.7,513.2,521.5,532.5,530.6,544.4,555.9,557.4,552.5,564.8,568.0,565.6,567.3,575.8,579.2,580.9,589.7,596.9,604.9,613.7,620.2,640.0,638.0,644.8
"","    Ratios of private inventories to final sales of domestic business:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","        Private inventories to final sales",2.67,2.66,2.64,2.60,2.60,2.60,2.55,2.51,2.47,2.48,2.46,2.47,2.49,2.48,2.48,2.48,2.51,2.48,2.44,2.41,2.33,2.31,2.32,2.34,2.38,2.42,2.37,2.33,2.33,2.36,2.39,2.40,2.39,2.42,2.38,2.39,2.42,2.39,2.42,2.45,2.42,2.44,2.46,2.46,2.51,2.61,2.71,2.68,2.50,2.43,2.40,2.35,2.37,2.42,2.40,2.45,2.49,2.60,2.62,2.58,2.58,2.57,2.54,2.58,2.56,2.52,2.52,2.52,2.52,2.58,2.54,2.50,2.47,2.44,2.43,2.40,2.39,2.37,2.36,2.32,2.35,2.37,2.34,2.32,2.34,2.35,2.31,2.31,2.31
"28","        Nonfarm inventories to final sales",2.38,2.37,2.36,2.33,2.34,2.34,2.30,2.28,2.25,2.25,2.24,2.25,2.27,2.26,2.27,2.28,2.29,2.26,2.23,2.20,2.13,2.10,2.12,2.14,2.16,2.20,2.16,2.10,2.10,2.13,2.16,2.17,2.17,2.20,2.17,2.17,2.21,2.18,2.22,2.24,2.21,2.22,2.24,2.24,2.28,2.37,2.46,2.44,2.28,2.21,2.19,2.14,2.17,2.20,2.19,2.23,2.27,2.34,2.37,2.33,2.32,2.32,2.30,2.34,2.33,2.31,2.30,2.30,2.30,2.33,2.30,2.27,2.23,2.22,2.21,2.20,2.20,2.18,2.18,2.16,2.19,2.20,2.17,2.17,2.18,2.19,2.16,2.17,2.17
"29","        Nonfarm inventories to final sales of goods and structures",3.93,3.91,3.90,3.83,3.86,3.87,3.81,3.75,3.69,3.71,3.68,3.71,3.75,3.75,3.76,3.79,3.82,3.79,3.72,3.68,3.55,3.54,3.60,3.64,3.71,3.78,3.69,3.57,3.57,3.64,3.68,3.71,3.70,3.75,3.69,3.70,3.79,3.72,3.81,3.85,3.82,3.85,3.89,3.91,4.01,4.21,4.39,4.36,4.14,4.02,3.98,3.91,3.99,4.10,4.07,4.17,4.21,4.38,4.42,4.34,4.30,4.28,4.23,4.29,4.27,4.22,4.22,4.21,4.19,4.29,4.21,4.14,4.10,4.12,4.08,4.06,4.09,4.06,4.06,4.05,4.11,4.11,4.05,4.04,4.07,4.10,4.00,4.06,4.05
"Legend / Footnotes:"
"1. Inventories are as of the end of the quarter. The quarter-to-quarter change in inventories calculated from current-dollar inventories in this table is not the current-dollar change in private inventories component of GDP. The former is the difference between two inventory stocks, each valued at its respective end-of-quarter prices. The latter is the change in the physical volume of inventories valued at average prices of the quarter. In addition, changes calculated from this table are at quarterly rates, whereas, the change in private inventories is stated at annual rates."
"2. Quarterly totals at monthly rates. Final sales of domestic business equals final sales of domestic product less gross output of general government, gross value added of nonprofit institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm housing. It includes a small amount of final sales by farm and by government enterprises."
"Note. Estimates in this table are based on the North American Industry Classification System (NAICS)."
