"Intermediate Inputs by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    64","      Rental and leasing services and lessors of intangible assets",43926,57394,61096,74255,61485,55473,76437,92175,107229,94493,105996,111123,87834,108617,122177,125922,135187,148078,122038,113592,113499,115262
"    65","  Professional and business services",505317,596295,656694,704863,679847,662326,696745,759246,834830,891869,976644,962051,904878,945384,1011925,1044385,1077816,1162650,1187892,1294246,1370281,1430321
"    66","    Professional, scientific, and technical services",300143,346510,381694,422008,416694,407862,430265,455175,493768,514947,559572,542131,528289,554072,586239,596503,612192,652046,655230,718740,782061,811041
"    67","      Legal services",51656,56453,60197,58578,60020,62786,73705,71227,74982,76404,72988,51534,67696,81570,82288,90278,90314,91650,97310,94652,102339,112060
"    68","      Computer systems design and related services",48387,64594,83210,96608,87059,89544,81970,78657,82906,81487,89861,100596,90747,102236,106430,101926,103888,112218,98445,106716,116469,125804
"    69","      Miscellaneous professional, scientific, and technical services",200100,225463,238288,266822,269614,255531,274590,305290,335880,357056,396723,390001,369846,370265,397521,404299,417990,448179,459475,517372,563253,573177
"    70","    Management of companies and enterprises",69698,82549,91637,89061,85935,86789,94975,117673,140695,153179,182267,176231,155134,156766,168529,176582,179295,180777,179839,187121,179486,187523
"    71","    Administrative and waste management services",135476,167237,183363,193794,177217,167675,171505,186398,200366,223743,234805,243689,221455,234547,257157,271300,286329,329826,352823,388386,408734,431757
"    72","      Administrative and support services",115366,143476,157661,167224,152303,144565,146449,156305,167236,181966,193748,201068,185059,199869,216408,230422,244449,286298,314311,350425,367206,388876
"    73","      Waste management and remediation services",20110,23760,25702,26570,24914,23110,25056,30094,33130,41777,41057,42622,36396,34678,40749,40877,41880,43528,38512,37961,41528,42881
"    74","  Educational services, health care, and social assistance",338814,372151,384695,414588,458435,499730,533132,555183,608842,639195,692988,713784,730106,780248,818881,858090,866466,908203,966988,1016664,1081201,1154425
"    75","    Educational services",36042,41800,42299,46485,53863,59801,59878,56282,61899,70561,85080,89520,85188,94042,100382,95556,102293,104571,106808,104921,111774,115763
"    76","    Health care and social assistance",302772,330351,342396,368103,404572,439929,473254,498901,546943,568633,607909,624263,644918,686206,718499,762534,764173,803631,860180,911742,969428,1038662
"    77","      Ambulatory health care services",137295,149440,154643,164193,181503,195445,216282,232202,245929,248606,265530,264624,266072,271595,278888,295266,281229,299734,327006,340218,359985,400120
"    78","      Hospitals",106085,116666,120918,130021,138609,156077,163856,169985,194562,207030,219044,229130,243064,266635,285142,310777,326844,341411,364600,395733,421907,440209
"    79","      Nursing and residential care facilities",37300,40950,40952,43384,46664,47603,51804,54337,62022,65502,70151,70861,70131,75057,78691,83002,84824,88585,94219,98501,104681,111907
"    80","      Social assistance",22093,23294,25883,30505,37796,40803,41312,42377,44430,47494,53184,59649,65652,72919,75777,73489,71276,73901,74354,77291,82855,86426
"    81","  Arts, entertainment, recreation, accommodation, and food services",249043,260497,264447,283644,298900,306915,325853,346013,373756,400950,422400,435698,421893,423430,449126,472080,488089,523156,559826,592807,607142,628680
"    82","    Arts, entertainment, and recreation",47238,50683,52169,52462,63262,63483,69420,74016,79795,92215,104097,104350,99461,93657,93837,93291,96676,99676,112572,116545,126209,128860
"    83","      Performing arts, spectator sports, museums, and related activities",22157,23964,24729,26555,31182,34037,35477,36034,39306,42930,51069,50321,48387,46313,43886,43401,45261,46859,56863,59099,64255,63448
"    84","      Amusements, gambling, and recreation industries",25081,26719,27441,25907,32080,29446,33943,37982,40489,49285,53029,54030,51074,47344,49951,49890,51415,52818,55708,57446,61954,65412
"    85","    Accommodation and food services",201805,209813,212278,231182,235639,243432,256433,271997,293961,308735,318302,331347,322432,329773,355289,378790,391414,423480,447254,476262,480933,499819
"    86","      Accommodation",45743,48082,49668,56981,54604,54958,57096,60754,68470,71490,68321,74544,74505,73593,76915,86338,89284,101388,102059,108448,110718,102816
