"Table 3.9.5. Government Consumption Expenditures and Gross Investment"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","            Structures",0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.6,3.6,10.3,5.8,2.5,1.7,0.3,0.2,0.4,0.4,0.5,2.0,3.3,3.3,2.7,2.1,2.1,2.3,2.6,2.5,2.2,2.4,2.0,1.6,1.3,1.1,1.3,1.2,1.2,1.5,1.3,1.8,1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4.0,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.3,5.8,6.7,6.3,6.1,5.8,5.4,5.4,5.3,6.1,7.1,6.9,7.2,7.8,10.0,13.7,17.1,16.7,13.3,8.1,6.5,5.3,4.3,3.4,3.8,3.7
"21","            Equipment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,3.6,15.7,31.5,33.0,21.0,1.2,0.8,1.6,2.6,1.9,7.1,10.1,11.4,9.3,7.8,7.8,8.2,8.5,10.7,10.1,11.5,12.5,10.9,10.1,8.9,10.4,12.2,10.8,9.7,9.6,5.5,5.3,6.0,8.2,9.9,12.1,13.3,14.3,17.5,19.8,24.1,29.1,35.2,41.1,47.9,52.7,55.0,49.6,51.5,54.6,53.4,50.7,44.7,41.9,39.8,39.9,33.6,34.1,36.8,37.8,39.9,46.4,50.0,55.7,61.4,66.0,71.8,82.6,86.6,89.3,87.3,85.2,78.8,74.8,72.5,72.7,76.2,80.7
"22","            Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.8,2.2,2.6,3.0,4.1,4.9,5.2,5.7,5.9,6.5,6.7,6.9,6.9,6.7,7.0,7.9,7.9,8.2,8.1,8.4,9.2,9.7,10.0,10.5,11.3,12.3,13.3,14.9,17.2,20.9,25.2,29.8,35.0,41.3,43.9,48.1,48.5,47.3,46.6,43.3,41.3,39.2,38.1,38.4,38.9,39.2,39.4,39.3,40.2,42.5,47.9,53.0,58.3,62.9,65.7,69.4,70.8,69.6,70.2,71.3,70.5,67.7,64.7,65.8,64.0,69.9,71.6
"23","                Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,1.0,1.3,1.4,1.7,2.2,2.7,3.2,3.6,4.3,4.8,5.2,5.4,5.6,5.4,5.3,5.3,5.5,5.6,5.9,5.9,6.0,5.8,5.6,5.7,5.8,6.1,6.4,6.8,7.4,7.5,8.1,8.7,9.0,9.1,9.4,9.4,10.0,10.8,11.7
"24","                Research and development",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.8,2.2,2.6,3.0,4.1,4.9,5.2,5.7,5.9,6.5,6.7,6.9,6.9,6.6,7.0,7.8,7.8,8.1,7.9,8.1,8.9,9.4,9.6,10.0,10.8,11.7,12.6,14.0,16.2,19.6,23.7,28.1,32.8,38.6,40.7,44.5,44.3,42.5,41.4,37.9,35.6,33.7,32.8,33.1,33.4,33.6,33.5,33.3,34.2,36.7,42.3,47.3,52.5,56.8,59.3,62.5,63.4,62.1,62.1,62.6,61.5,58.5,55.3,56.3,54.0,59.2,59.9
"25","    Nondefense",0.9,0.9,1.0,1.0,1.5,2.5,2.4,4.4,3.8,4.4,4.6,4.0,3.7,3.2,2.7,2.8,2.4,4.0,4.7,6.2,8.1,6.8,6.3,7.4,9.1,8.8,8.7,8.2,8.5,9.3,12.6,12.0,12.8,15.8,17.9,20.5,22.6,24.1,25.0,26.6,29.1,32.1,36.5,40.9,43.6,48.9,55.8,59.8,65.9,73.7,80.0,91.5,100.6,102.9,110.3,113.0,123.4,129.3,130.4,129.3,142.9,157.4,168.9,182.0,188.5,192.6,199.5,201.9,211.3,216.8,228.1,241.1,256.9,284.1,305.0,321.9,338.0,359.9,371.2,400.2,430.6,469.9,465.0,472.4,462.4,471.6,491.3,504.9,521.3,540.9
"26","        Consumption expenditures",0.7,0.7,0.7,0.6,0.9,1.8,1.3,3.4,2.9,3.5,3.7,3.2,2.6,2.2,1.8,2.2,2.0,3.7,4.0,5.0,6.4,4.9,4.4,5.4,7.4,7.3,7.4,6.4,6.3,6.6,9.8,8.4,8.6,10.5,10.7,11.7,12.6,12.7,14.3,15.4,17.9,20.6,24.3,27.9,29.7,33.6,38.5,40.7,44.7,49.0,53.1,61.4,68.4,71.2,77.7,78.5,86.3,90.8,88.7,86.8,96.8,106.5,113.4,122.8,127.1,133.0,136.8,137.1,146.6,148.3,154.7,167.2,180.7,202.3,219.9,234.4,247.5,263.8,272.4,295.7,321.3,348.9,341.3,348.9,345.7,352.6,368.9,380.3,392.8,409.5
"27","        Gross investment",0.2,0.2,0.3,0.4,0.6,0.7,1.1,1.0,0.9,0.9,0.8,0.8,1.1,1.0,0.9,0.7,0.5,0.3,0.6,1.2,1.6,1.9,1.9,2.0,1.7,1.5,1.2,1.7,2.2,2.7,2.8,3.6,4.3,5.4,7.2,8.8,10.0,11.4,10.6,11.2,11.3,11.5,12.1,13.1,13.9,15.3,17.2,19.1,21.3,24.7,26.9,30.1,32.2,31.8,32.6,34.5,37.1,38.5,41.7,42.5,46.0,50.9,55.5,59.2,61.5,59.6,62.7,64.8,64.7,68.4,73.4,74.0,76.2,81.7,85.1,87.5,90.5,96.1,98.9,104.6,109.4,121.0,123.7,123.5,116.6,119.1,122.5,124.5,128.5,131.5
"28","            Structures",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.2,0.2,0.0,0.3,0.7,1.1,1.1,1.1,1.1,1.1,0.9,0.6,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.8,2.2,2.1,1.9,2.1,2.5,2.7,3.1,3.4,4.1,4.6,5.0,6.1,6.3,7.1,7.7,6.8,6.7,7.0,7.3,8.0,9.0,6.8,6.9,8.0,9.2,10.3,11.2,10.2,10.8,11.3,9.9,10.8,10.7,8.4,8.1,10.0,10.3,9.6,8.1,9.4,11.4,11.4,12.0,16.0,16.7,14.5,11.6,12.0,12.6,12.4,12.4,12.7
"29","            Equipment",0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.7,0.8,1.1,1.1,1.5,1.7,1.8,2.3,2.7,2.7,3.2,3.3,3.9,4.3,4.7,5.1,4.8,5.2,6.1,7.2,8.1,8.9,10.0,9.9,7.5,8.6,9.7,10.0,10.2,11.9,10.8,10.0,11.9,12.3,13.3,15.2,17.4,16.1,17.5,17.8,19.2,18.4,18.7,16.2,17.5,19.0,19.5,20.8,22.1
