"Gross Output by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    28","      Apparel and leather and allied products",87190,79047,75979,75331,58781,50881,44923,39203,40315,39205,29854,26701,24411,23275,24835,19162,19527,19281,19329,23184,25590,26533
"    29","      Paper products",149242,153176,155602,163676,154970,152466,148736,152972,160067,167543,174225,177371,160533,169406,175584,178973,183815,186382,182909,178912,184161,193147
"    30","      Printing and related support activities",98356,101045,103844,107192,104098,99721,95442,96289,98962,100747,103514,99166,84045,83798,84243,83095,83330,82403,82039,84097,80333,81673
"    31","      Petroleum and coal products",175722,136588,160487,233011,218057,214238,245974,324962,462089,536877,606412,733568,482370,607722,816949,833489,833756,767640,501011,432319,519509,639734
"    32","      Chemical products",417629,422348,430468,454758,446721,471427,491640,546691,610755,660305,728670,735781,620943,715655,782275,792803,830838,841945,795525,796359,816605,862498
"    33","      Plastics and rubber products",159031,163564,172513,179075,170360,173411,176195,182974,198128,209810,206223,198943,167778,186612,201011,216467,224486,231276,233608,232766,233321,238846
"    34","  Wholesale trade",747153,772731,826239,880498,860337,891879,929221,1019313,1107735,1196837,1270853,1327125,1154752,1359199,1530787,1654978,1734795,1814405,1829561,1817727,1928052,2057472
"    35","  Retail trade",857282,892213,953695,1000039,992262,1045303,1108007,1190551,1239713,1302079,1333963,1277235,1207715,1299657,1335930,1403508,1480021,1550750,1648574,1720491,1792534,1872021
"    36","    Motor vehicle and parts dealers",174686,174664,196427,195374,176590,208890,211281,217241,211917,214647,215797,184484,147800,196860,198780,221895,235849,254713,282916,303861,315823,323504
"    37","    Food and beverage stores",129441,133477,140404,141466,152601,153932,159015,168239,175213,185029,188189,194115,190728,197147,203793,207675,210668,218593,228791,233193,238917,247028
"    38","    General merchandise stores",116484,123470,131706,136288,139037,139482,157142,172717,181068,186495,198425,200652,207333,215053,212388,210740,216710,223363,229856,230404,236509,243999
"    39","    Other retail",436671,460601,485159,526911,524033,542998,580569,632353,671515,715909,731552,697985,661853,690596,720969,763197,816793,854081,907011,953034,1001284,1057490
"    40","  Transportation and warehousing",499361,527364,558580,600261,591978,595543,628191,692310,752614,820687,866033,906784,781977,856269,954180,1002031,1036844,1105003,1111726,1104142,1155531,1230284
"    41","    Air transportation",114332,115629,121211,134588,118653,111658,122300,132684,142371,152667,161265,171526,147076,163825,194775,195902,201460,206280,201355,195346,200516,211935
