"Gross Output by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    52","    Broadcasting and telecommunications","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",19486,20987,22965,25007,27318,29506,32695,35334,38325,42922,48532,53403,60722,68098,74586,84081,92527,101515,118447,137807,153161,166419,181963,196314,203446,213838,222405,235470,244327,259238,276264,295437,322510,354904,403671
"    53","    Data processing, internet publishing, and other information services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1171,1291,1430,1618,1766,2085,2514,2872,3264,3878,4528,5016,5604,6544,7855,9436,11331,12988,15125,17094,18930,19868,20571,21542,19855,22104,24866,27534,28973,31169,33854,38507,43523,47499,46816
"    54","  Finance, insurance, real estate, rental, and leasing",36061,39806,42781,47363,53086,57945,64655,69746,74943,79910,84634,89140,95304,101873,108154,114451,119608,130447,141284,152282,163692,179325,197291,214456,235162,259351,282023,308239,345976,376548,424898,489215,542846,600010,663659,741094,862866,950410,1078433,1166935,1260728,1370790,1466555,1564471,1630325,1723117,1848305,1962841,2087686,2262958,2433227
"    55","    Finance and insurance",10976,11992,12514,14004,15923,16951,19629,21317,23500,25407,26826,27616,29974,33299,36411,38676,40474,45633,49966,54485,57922,65443,73467,80391,86848,96528,103560,114045,133294,142013,162011,191008,206124,222288,238640,279419,355821,390537,458274,490986,531931,556434,591568,612794,648386,683981,752978,790839,860115,947671,1048475
"    56","      Federal Reserve banks, credit intermediation, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",17241,19822,21293,23564,25915,27842,34363,39637,41895,45454,49590,57242,69270,67761,72224,87390,94842,99186,102906,120998,163160,168040,195514,219418,231468,242893,245479,253706,266794,281858,303032,321411,347153,385693,428524
"    57","      Securities, commodity contracts, and investments","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",3124,3397,3828,4537,5229,6534,6003,4820,6630,7898,6102,5237,7161,8214,10334,12197,15262,18847,22084,29199,42873,39805,48535,62574,69350,62251,72034,67723,81079,89038,109089,105947,133472,168808,204855
"    58","      Insurance carriers and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",18293,20438,22694,24038,24223,28182,29816,32259,34214,38678,42698,45660,50143,58300,70432,81909,85757,91908,99732,113610,132290,162304,190574,182876,195700,219192,239487,257331,268522,280318,301712,323733,333142,339656,358726
"    59","      Funds, trusts, and other financial vehicles","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1817,1976,2151,2346,2554,2884,3284,3675,4110,4498,5170,5906,6719,7738,9021,9512,10263,12346,13917,15613,17498,20387,23653,26118,35412,32097,34569,34034,31991,32768,39145,39747,46349,53514,56370
"    60","    Real estate and rental and leasing",25086,27814,30267,33359,37163,40993,45027,48429,51442,54504,57808,61524,65329,68574,71742,75775,79133,84814,91319,97797,105770,113882,123824,134065,148314,162823,178463,194193,212682,234535,262887,298206,336722,377722,425019,461675,507045,559873,620158,675949,728797,814355,874987,951677,981938,1039136,1095327,1172002,1227570,1315287,1384752
"    61","      Real estate",23118,25667,28000,30858,34364,37947,41671,44797,47480,50177,53160,56559,59962,62797,65590,69090,71985,77558,84047,90450,97754,105147,114198,123252,135736,148328,162677,177579,195016,215442,242086,274180,307967,344093,386079,418669,459136,505601,560258,611959,662279,734840,788573,857196,889478,941663,989608,1056515,1103886,1177609,1236640
"    62","        Housing","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
