"Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: October 11, 2018"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"18","    Equipment",23.7,24.8,25.0,25.2,25.0,23.6,21.5,19.3,19.4,19.9,19.4,20.8,22.2,22.1,22.5,24.2,27.6,28.5,28.9,28.9,33.1,40.0,48.2,58.2,60.5,69.9,76.9,81.4,88.7,92.0,101.9,116.4,128.3,132.4,139.3,144.9,148.2,154.8,161.8,172.2,186.6,209.3,231.3,257.1,285.1,313.6,336.2,363.2,404.3,500.0,575.9,638.6,721.2,825.1,958.2,1117.1,1246.4,1324.4,1370.0,1448.6,1537.7,1631.1,1709.5,1812.8,1917.5,2028.7,2082.7,2141.4,2231.5,2359.9,2517.9,2651.1,2768.3,2895.8,3062.0,3253.2,3332.8,3349.1,3363.6,3538.0,3688.4,3933.7,4104.3,4292.3,4204.2,4279.1,4468.9,4663.8,4814.9,5001.7,5135.7,5255.1,5444.4
"19","    Structures",73.9,75.7,76.9,78.7,77.9,74.2,66.4,62.8,63.4,64.0,63.8,70.7,72.4,71.1,71.2,75.3,83.9,89.5,89.4,90.3,97.1,117.8,140.2,148.2,149.8,166.2,179.6,190.3,196.4,201.2,221.0,242.2,256.6,259.6,267.8,270.1,276.5,283.1,289.5,303.5,321.9,343.7,368.2,402.6,442.1,486.9,541.3,588.6,669.9,820.2,890.4,972.7,1071.3,1212.9,1394.6,1588.1,1815.9,1930.0,1973.4,2090.9,2192.8,2265.9,2384.4,2540.5,2689.7,2833.7,2880.6,2981.3,3133.5,3302.4,3468.6,3636.1,3862.3,4079.6,4286.3,4577.4,4880.0,5119.9,5328.2,5923.6,6637.8,7254.3,7676.7,8273.0,7890.1,8119.6,8525.2,8771.8,9132.8,9598.7,9721.8,9890.0,10231.1
"20","    Intellectual property products",1.2,1.3,1.4,1.5,1.6,1.7,1.6,1.6,1.6,1.8,1.9,2.2,2.4,2.5,2.7,3.0,3.7,4.4,5.0,5.5,5.9,6.7,7.8,8.4,8.6,9.5,10.1,11.0,12.4,13.7,15.3,17.5,19.5,21.2,23.3,25.2,27.3,29.2,31.7,34.3,37.8,42.0,47.3,53.1,60.1,66.3,70.9,76.7,85.7,98.0,106.7,117.1,129.0,144.4,165.3,189.2,216.9,243.4,270.8,302.2,333.2,363.2,399.6,455.7,497.4,541.8,586.5,627.9,667.4,716.4,771.1,828.1,903.7,984.1,1096.4,1212.5,1266.2,1306.6,1375.4,1435.9,1530.5,1622.3,1742.3,1830.7,1883.0,1963.1,2062.2,2152.7,2279.3,2379.7,2463.0,2586.9,2752.5
"","    By corporate industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","      Farms",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2.0,2.2,2.4,2.7,3.0,3.3,3.6,4.0,4.6,5.8,6.9,7.9,9.2,10.7,12.9,14.8,16.5,17.3,17.4,17.4,17.4,17.6,17.9,18.2,18.8,19.6,20.1,20.3,21.4,23.3,25.6,27.9,30.4,33.6,36.2,39.9,44.5,50.3,56.5,65.1,73.2,80.0,86.1,94.0,96.1,100.3,107.7,117.4,129.6,143.4,147.4,150.3,153.1
"22","        Equipment",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.4,1.5,1.7,1.9,2.0,2.2,2.5,3.4,4.1,4.7,5.4,6.2,7.5,8.5,9.6,10.0,9.8,9.5,9.3,9.3,9.2,9.4,9.7,10.3,10.7,10.8,11.5,12.6,14.3,15.8,17.8,20.2,21.8,24.0,27.0,31.1,35.3,40.8,45.3,49.1,53.0,58.7,61.6,64.6,69.6,76.3,84.3,93.0,94.4,93.4,93.0
"23","        Structures",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,1.2,1.3,1.4,1.6,1.8,2.0,2.5,2.8,3.2,3.8,4.5,5.4,6.2,6.9,7.3,7.6,7.9,8.1,8.3,8.6,8.9,9.1,9.3,9.3,9.5,9.9,10.6,11.3,12.0,12.5,13.3,14.3,15.8,17.5,19.2,21.1,24.3,27.9,30.9,33.1,35.3,34.4,35.6,38.1,41.0,45.3,50.4,52.9,56.9,60.1
"24","        Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"25","      Manufacturing",16.4,16.8,17.1,17.8,17.7,16.3,14.5,13.3,14.8,15.4,15.6,17.5,18.8,18.4,19.0,21.0,24.9,27.2,27.2,27.6,31.5,38.7,47.2,52.5,52.0,59.5,65.6,69.7,73.8,76.6,84.8,96.9,105.7,106.9,110.6,113.9,117.2,122.3,127.5,136.1,147.9,166.2,183.0,203.7,225.5,248.5,270.3,291.1,323.4,392.0,437.9,479.9,535.2,603.9,696.3,802.1,890.7,949.6,980.2,1029.4,1091.5,1149.0,1206.0,1280.8,1347.1,1421.4,1466.1,1517.7,1567.3,1650.1,1744.2,1837.3,1934.3,2038.8,2131.5,2228.9,2288.9,2313.3,2347.2,2449.1,2576.7,2698.5,2861.0,3039.1,2997.3,3045.6,3160.1,3247.1,3374.4,3462.3,3517.3,3589.0,3719.5
"26","        Equipment",7.2,7.3,7.4,7.6,7.5,7.1,6.5,5.9,6.3,6.6,6.6,7.4,8.2,8.3,8.7,9.6,11.0,11.5,11.8,12.4,14.2,16.7,20.5,24.7,25.1,29.4,32.2,34.0,37.0,38.6,42.6,49.1,53.8,54.6,56.5,57.8,58.2,60.1,61.9,65.7,71.5,81.1,89.5,98.6,107.5,117.2,123.7,130.6,142.7,178.6,209.2,232.9,263.2,298.0,343.4,399.2,441.5,464.3,468.2,484.5,514.3,541.0,564.4,588.8,619.1,661.8,684.1,703.8,722.8,756.3,802.7,838.2,863.6,894.8,916.8,940.3,948.4,948.1,949.0,972.8,998.0,1035.6,1082.6,1140.4,1127.0,1135.1,1175.4,1206.5,1224.6,1242.8,1251.1,1261.7,1292.6
