"Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    58","      Insurance carriers and related activities",215595,236737,234308,274517,262034,251216,280678,322198,348404,372532,405712,349156,365878,372810,384316,405457,384274,485245,542201,557548,540782,564522
"    59","      Funds, trusts, and other financial vehicles",7150,13125,16941,15244,15207,17009,20175,20974,23432,21189,22420,22425,15917,16531,13047,12938,12559,20544,17575,15996,16694,18328
"    60","    Real estate and rental and leasing",1035169,1072172,1162043,1231673,1324998,1400528,1449599,1516727,1632468,1709732,1817723,1889494,1901062,1939357,2019282,2098159,2177856,2270967,2391898,2497156,2591221,2725119
"    61","      Real estate",929207,959173,1034894,1095795,1176613,1254091,1307102,1377949,1489154,1541722,1653624,1711085,1737983,1779449,1856734,1925431,1995476,2081180,2181569,2277657,2367513,2490380
"    62","        Housing",769833,812266,866585,921763,985823,1031892,1066655,1133002,1212898,1292199,1340936,1411674,1447060,1452168,1498502,1531081,1564944,1646221,1746138,1829077,1906837,2004476
"    63","        Other real estate",159374,146907,168309,174032,190790,222199,240447,244947,276256,249523,312688,299412,290923,327281,358232,394350,430531,434959,435431,448580,460676,485904
"    64","      Rental and leasing services and lessors of intangible assets",105961,112998,127149,135878,148385,146436,142496,138779,143314,168010,164099,178409,163079,159908,162548,172728,182380,189787,210329,219499,223707,234740
"    65","  Professional and business services",840553,913999,997160,1105069,1155475,1189856,1247434,1341035,1446406,1546640,1666712,1777104,1688720,1766836,1856659,1964658,2017289,2117940,2233263,2298999,2426347,2576211
"    66","    Professional, scientific, and technical services",499682,543091,595948,651844,686776,714721,741331,792390,852401,917072,984929,1082135,1031282,1063884,1124558,1188532,1208524,1266967,1342381,1381062,1449993,1548260
"    67","      Legal services",103987,113731,120709,129160,140667,149234,165258,180814,195176,204564,217435,240611,212157,204423,215462,216697,218864,225873,232744,246046,257791,270734
"    68","      Computer systems design and related services",75488,88994,102978,114077,118177,110197,115755,122926,134929,148966,167080,181338,188915,202793,224501,252274,254897,265474,283156,301557,323080,343778
"    69","      Miscellaneous professional, scientific, and technical services",320207,340367,372261,408606,427932,455290,460319,488650,522296,563542,600414,660186,630210,656668,684596,719561,734763,775621,826480,833459,869123,933749
"    70","    Management of companies and enterprises",125467,139111,148498,171128,173620,174967,185600,203128,214112,230477,251157,256416,245031,265388,277963,302195,319700,333198,345580,348387,369380,387120
"    71","    Administrative and waste management services",215405,231797,252715,282098,295080,300167,320502,345516,379892,399090,430627,438553,412407,437563,454138,473931,489064,517774,545303,569551,606974,640831
"    72","      Administrative and support services",193546,209089,227709,255954,266609,269809,288256,313574,346260,367413,395158,401644,373967,389804,411693,431230,445865,471510,493948,513398,546226,576345
"    73","      Waste management and remediation services",21859,22708,25006,26144,28472,30358,32246,31942,33632,31677,35469,36909,38440,47759,42445,42701,43199,46265,51355,56153,60748,64486
"    74","  Educational services, health care, and social assistance",590585,615762,653949,695441,749895,807030,862800,927339,970491,1035450,1087932,1184815,1267493,1310657,1354713,1407364,1447192,1492552,1563494,1639365,1700275,1780260
"    75","    Educational services",77078,79943,87669,95235,101705,106491,116775,129073,133228,142923,151528,167783,188331,198871,206048,213883,217462,226190,234453,244056,245556,254198
"    76","    Health care and social assistance",513507,535819,566280,600206,648190,700539,746025,798266,837263,892527,936403,1017031,1079162,1111786,1148665,1193481,1229730,1266361,1329041,1395309,1454718,1526062
