"Intermediate Inputs by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    51","    Motion picture and sound recording industries","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1276,1272,1352,1405,1605,1693,2179,2341,2778,3153,3572,4151,4802,4919,5215,4551,5146,4782,6065,7610,8675,9584,9925,11194,10651,13548,12928,16129,18374,19917,21156,24790,26343,28391,45855
"    52","    Broadcasting and telecommunications","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",5312,5730,6485,6899,7785,8531,9369,9557,10047,10909,13428,14979,17842,19768,21317,23520,25919,26051,30653,41272,43627,52771,57188,65880,67608,71844,71434,72662,74211,77179,80614,88912,107409,127933,176302
"    53","    Data processing, internet publishing, and other information services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",197,221,261,316,328,524,750,931,1152,1491,1825,2057,2325,2833,3620,4458,5560,6282,7330,8396,8815,8778,8037,8056,5669,6656,7947,8961,9850,10129,11447,13958,16871,18483,16502
"    54","  Finance, insurance, real estate, rental, and leasing",10426,11503,12141,13736,15554,16769,19278,20667,21834,23253,23895,24034,25575,27229,28830,29969,30280,34740,38622,41824,44896,49867,55054,61493,65211,73824,77537,83219,96159,101831,118151,137209,146940,150513,158157,193529,248131,269792,334634,361280,409451,453987,484910,516958,523375,530416,592028,643609,680279,772949,810129
"    55","    Finance and insurance",5104,5275,4960,5818,6676,6605,8088,8977,10109,10938,11224,10784,11885,13830,15801,17567,18496,21503,23611,25449,25583,29202,32585,36420,38332,43633,46928,49783,59850,61799,67251,78591,81321,84848,83925,111598,161604,176776,224070,228175,248683,253938,268307,265582,266265,264210,312946,337500,371307,419914,469893
"    56","      Federal Reserve banks, credit intermediation, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",6657,8282,8763,9588,10218,10355,13044,15548,17090,19211,19982,21660,29580,24258,22636,28632,26854,26270,22004,36880,64320,62251,75771,78143,78928,90202,85794,81852,77115,78166,91836,106290,126810,154425,194394
"    57","      Securities, commodity contracts, and investments","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1681,1799,1822,2054,1968,2375,2493,2337,2858,3556,2502,2097,2495,3511,3387,3546,5700,9655,12001,17719,22358,18842,22414,32584,27925,18759,26244,24509,34193,35443,45164,47133,60724,74217,84573
"    58","      Insurance carriers and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",8543,9690,11096,11677,11083,13849,14048,15162,14605,16732,19617,20640,21636,26838,32856,37843,39573,38211,39538,44767,61606,79938,108784,98573,113824,119673,128379,132751,130802,126861,146759,153781,147543,148055,142010
"    59","      Funds, trusts, and other financial vehicles","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1615,1732,1931,2130,2314,2623,3000,3373,3779,4134,4828,5387,6139,7193,8372,8570,9194,10712,10382,12232,13320,15745,17101,18874,28006,25305,27888,26470,24155,23740,29187,30296,36231,43218,48915
"    60","    Real estate and rental and leasing",5322,6229,7181,7919,8877,10164,11190,11690,11725,12315,12671,13250,13691,13399,13029,12402,11784,13237,15011,16375,19312,20664,22469,25073,26879,30191,30609,33436,36309,40032,50900,58618,65619,65665,74232,81931,86526,93016,110565,133105,160768,200048,216604,251376,257111,266206,279082,306109,308972,353035,340236
"    61","      Real estate",4756,5607,6520,7191,8064,9279,10217,10633,10577,11071,11336,11821,12149,11740,11262,10489,9743,11496,13641,15429,18164,19385,21072,23099,24124,26542,27089,30188,33306,37454,48275,55764,61380,60619,67217,73002,76251,81313,97480,119131,146553,180442,194952,227346,233545,241804,252038,275360,275115,314215,298941
"    62","        Housing","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    63","        Other real estate","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
