"Components of Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 01, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    345","      Food services and drinking places",150903,163569,179508,194207,203919,217062,226937,240917,250082,265075,271620,276088,281213,291473,300779,321522,337250,358336,388507,409016,427414
"    346","        Compensation of employees",97927,107976,117841,125182,132482,138176,147134,157413,164916,174020,184592,187010,182965,187497,198097,215192,226124,240901,258881,275974,290866
"    347","        Taxes on production and imports less subsidies",20373,21615,23038,24591,26067,26688,28295,30460,32879,35500,37235,38737,38182,40522,38126,39780,42578,45434,47598,48991,50894
"    348","        Gross operating surplus",32603,33979,38629,44435,45371,52199,51508,53045,52287,55555,49793,50341,60065,63453,64556,66550,68548,72000,82028,84052,85654
"    349","  Other services, except government",230311,248732,260827,279735,265574,284895,283818,297278,310699,325045,330483,330268,326535,327992,333090,347991,356282,376258,392522,401787,416083
"    350","    Compensation of employees",141158,153018,159508,171795,177329,189088,196364,206048,209403,218850,231079,240092,235120,231692,239300,250937,257867,272511,285280,293564,303594
"    351","    Taxes on production and imports less subsidies",10502,11165,11923,12582,12360,12764,13249,14387,15602,16661,17371,17663,17639,17861,18391,18984,19975,20747,21532,22383,23275
"    352","    Gross operating surplus",78651,84548,89396,95358,75885,83044,74205,76843,85693,89534,82033,72513,73776,78439,75399,78070,78440,83001,85710,85840,89214
"    353","Government",1145563,1191319,1252349,1323025,1392934,1474399,1552345,1631271,1710271,1791997,1887064,1981608,2045053,2107964,2137061,2159489,2212508,2271716,2340490,2387831,2453704
"    354","  Compensation of employees",889729,928781,980829,1043379,1112050,1185376,1255685,1323011,1383361,1444176,1519599,1593187,1640866,1691683,1702026,1703805,1748357,1791583,1848545,1889008,1942316
"    355","  Taxes on production and imports less subsidies",-13817,-11908,-12033,-11521,-12576,-14710,-15593,-16538,-16973,-17499,-18685,-20385,-22508,-20785,-22721,-22518,-24572,-25157,-24445,-25821,-25216
"    356","  Gross operating surplus",269651,274446,283553,291167,293460,303733,312253,324798,343882,365320,386150,408806,426696,437066,457756,478202,488723,505290,516389,524644,536604
"    357","  Federal",390727,396432,405998,423535,430419,462488,498880,525513,551273,575548,601894,632210,663326,697444,712251,713885,703806,716066,732323,744802,759896
"    358","    Compensation of employees",230775,234411,241612,256305,264870,290663,321905,342295,362119,374790,389994,409609,433586,459429,468185,465152,455143,460505,471022,481883,492299
"    359","    Taxes on production and imports less subsidies",-927,-940,-969,-1209,-1697,-1803,-1906,-2115,-2319,-2401,-3044,-4370,-4847,-3323,-4578,-5124,-7152,-7268,-6001,-6004,-6356
"    360","    Gross operating surplus",160878,162961,165355,168438,167246,173627,178880,185333,191474,203159,214943,226971,234587,241338,248644,253857,255816,262829,267302,268923,273953
"    361","    General government",333521,336785,344969,360316,370264,397844,434679,459371,488351,509891,535745,569060,602997,639993,659752,663663,658408,667071,674614,685530,700300
"    362","      Compensation of employees",183459,185847,191683,202447,211183,236331,267708,284269,303468,314522,329066,349555,375833,402794,411615,409055,399805,404620,411497,422845,432588
"    363","      Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    364","      Gross operating surplus",150062,150938,153286,157868,159081,161512,166971,175101,184883,195369,206678,219505,227164,237200,248138,254608,258603,262451,263117,262685,267712
"    365","      National defense",211818,210429,212016,217605,223004,239722,264264,280992,301196,315072,331100,352611,372713,393482,407120,407610,400101,399920,398271,399480,404500
"    366","        Compensation of employees",111416,110772,112658,116935,123206,139340,160791,172203,185991,192984,201511,214320,229241,244006,250807,248004,239563,239087,238882,242412,246284
"    367","        Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    368","        Gross operating surplus",100402,99657,99359,100670,99798,100382,103473,108788,115205,122089,129590,138291,143472,149476,156314,159606,160538,160833,159389,157068,158216
"    369","      Nondefense",121703,126356,132953,142711,147260,158122,170416,178379,187154,194819,204644,216449,230284,246512,252632,256053,258307,267150,276344,286049,295800
"    370","        Compensation of employees",72043,75075,79026,85512,87977,96991,106918,112066,117476,121538,127556,135234,146592,158788,160808,161051,160242,165532,172615,180432,186304
"    371","        Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    372","        Gross operating surplus",49660,51280,53927,57198,59283,61131,63498,66313,69678,73280,77088,81214,83692,87724,91824,95001,98065,101618,103728,105617,109496
"    373","    Government enterprises",57206,59647,61029,63219,60155,64644,64200,66142,62922,65657,66149,63150,60330,57450,52498,50222,45398,48995,57708,59272,59596
"    374","      Compensation of employees",47316,48564,49929,53858,53687,54332,54197,58026,58651,60268,60928,60054,57753,56635,56570,56097,55338,55885,59525,59039,59711
"    375","      Taxes on production and imports less subsidies",-927,-940,-969,-1209,-1697,-1803,-1906,-2115,-2319,-2401,-3044,-4370,-4847,-3323,-4578,-5124,-7152,-7268,-6001,-6004,-6356
"    376","      Gross operating surplus",10817,12023,12069,10570,8166,12115,11909,10231,6590,7790,8265,7466,7424,4139,506,-751,-2787,378,4185,6238,6241
"    377","  State and local",754836,794887,846351,899491,962515,1011912,1053465,1105758,1158998,1216449,1285170,1349398,1381727,1410520,1424811,1445603,1508702,1555650,1608167,1643029,1693809
"    378","    Compensation of employees",658954,694369,739216,787074,847180,894713,933779,980716,1021243,1069386,1129605,1183578,1207280,1232254,1233841,1238653,1293215,1331078,1377523,1407125,1450018
"    379","    Taxes on production and imports less subsidies",-12890,-10968,-11064,-10312,-10879,-12907,-13687,-14423,-14654,-15097,-15641,-16015,-17661,-17461,-18143,-17394,-17420,-17889,-18444,-19817,-18860
"    380","    Gross operating surplus",108772,111485,118198,122729,126214,130106,133373,139465,152409,162160,171207,181835,192108,195727,209112,224345,232907,242461,249088,255721,262651
"    381","    General government",689340,726180,773141,823982,882319,930570,970135,1019301,1067048,1122052,1191186,1252129,1280526,1306093,1313112,1325479,1380921,1421183,1467463,1498522,1545114
"    382","      Compensation of employees",613505,646300,688090,732479,785384,829142,864904,907550,944909,989842,1045752,1095890,1117909,1141113,1141931,1147127,1197762,1232514,1275482,1303202,1342961
"    383","      Taxes on production and imports less subsidies","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    384","      Gross operating surplus",75835,79880,85050,91503,96935,101428,105231,111752,122139,132209,145434,156239,162617,164980,171181,178351,183158,188669,191981,195320,202153
"    385","    Government enterprises",65496,68707,73211,75509,80195,81342,83330,86456,91950,94398,93985,97269,101201,104427,111699,120125,127782,134467,140704,144507,148695
"    386","      Compensation of employees",45449,48070,51126,54595,61795,65571,68875,73166,76334,79544,83853,87688,89371,91141,91910,91526,95452,98564,102041,103923,107057
"    387","      Taxes on production and imports less subsidies",-12890,-10968,-11064,-10312,-10879,-12907,-13687,-14423,-14654,-15097,-15641,-16015,-17661,-17461,-18143,-17394,-17420,-17889,-18444,-19817,-18860
"    388","      Gross operating surplus",32937,31605,33148,31226,29279,28678,28142,27713,30270,29951,25773,25596,29491,30747,37931,45994,49749,53792,57107,60401,60498
"    389","Addenda:","","","","","","","","","","","","","","","","","","","","",""
"    390","    Private goods-producing industries [1]",1926139,1991848,2083667,2220428,2184094,2170097,2302407,2502204,2699282,2889379,3018097,2989142,2673591,2774273,2929257,3018846,3181576,3297640,3257029,3211804,3398890
"    391","      Compensation of employees",1079308,1151164,1212714,1291872,1277262,1241037,1251546,1308107,1364841,1440266,1488154,1480797,1310544,1301461,1351109,1421444,1462172,1547621,1607832,1630081,1706048
"    392","      Taxes on production and imports less subsidies",57257,53862,48037,52505,55077,67312,69087,78955,79198,93487,103762,114139,110611,115130,124668,128010,135602,140455,131886,126412,134035
"    393","      Gross operating surplus",789575,786822,822916,876051,851755,861749,981774,1115141,1255242,1355626,1426181,1394206,1252437,1357682,1453480,1469392,1583803,1609563,1517311,1455310,1558808
"    394","    Private services-producing industries [2]",5505852,5879652,6294648,6708892,7004793,7291922,7603492,8080255,8627087,9133235,9546697,9742095,9730289,10109815,10476263,11018673,11390765,11952391,12621779,13107554,13632799
"    395","      Compensation of employees",2744183,2995758,3216394,3519383,3657034,3716957,3855067,4098188,4329520,4606818,4881617,4994699,4815782,4939827,5180882,5450122,5633108,5919428,6251534,6449831,6772221
"    396","      Taxes on production and imports less subsidies",534364,561150,592371,621731,626479,666033,703066,759294,819301,869585,897169,903430,880370,912920,941768,972586,1017911,1067506,1105196,1141307,1177058
"    397","      Gross operating surplus",2227305,2322744,2485883,2567778,2721280,2908932,3045359,3222773,3478267,3656833,3767910,3843966,4034137,4257069,4353612,4595964,4739746,4965457,5265048,5516416,5683521
"    398","    Information-communications-technology-producing industries [3]",504984,544073,579346,632889,610317,620892,653122,706225,755774,795191,852544,904170,888828,937423,974377,985362,1062609,1094236,1188950,1283946,1362935
"    399","      Compensation of employees",255499,293547,344271,405933,389271,345356,340425,354524,370826,395973,420293,422234,410572,422954,453639,483795,501391,536209,570096,595126,638927
"    400","      Taxes on production and imports less subsidies",32146,34286,37686,40949,43423,43749,44120,45767,47697,47934,47633,44866,43975,44616,45737,46199,48514,49948,50457,51912,53470
"    401","      Gross operating surplus",217339,216240,197390,186007,177623,231787,268577,305934,337251,351283,384617,437070,434281,469852,475001,455368,512704,508079,568396,636907,670538
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
