"Components of Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 01, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    86","        Compensation of employees",46559,49954,50967,50461,51393,50784,51066,56073,57121,61792,65784,68301,66796,66508,69228,71522,73897,75699,77737,77184,78552
"    87","        Taxes on production and imports less subsidies",1133,1241,1337,1398,1539,1641,1691,1799,1917,2043,2221,2252,2421,2372,2327,2296,2358,2376,2465,2595,2706
"    88","        Gross operating surplus",14846,15634,21502,19253,23941,20539,19808,17985,30708,32432,46195,43965,48222,51717,55268,52647,56827,60528,68448,65874,66807
"    89","      Furniture and related products",27921,29655,31646,33519,31202,31242,30384,30984,33701,34533,32503,27849,22819,21835,21954,22386,24009,25724,28975,30192,31347
"    90","        Compensation of employees",19649,21261,22711,23926,22918,22469,22359,23219,23605,23980,23780,22174,17713,16693,16840,17302,17894,18725,20275,20951,21911
"    91","        Taxes on production and imports less subsidies",254,278,300,320,298,320,330,364,399,415,424,415,412,397,386,385,391,392,409,425,443
"    92","        Gross operating surplus",8017,8116,8635,9273,7985,8453,7695,7401,9697,10139,8298,5260,4694,4745,4728,4699,5724,6606,8292,8817,8993
"    93","      Miscellaneous manufacturing",52255,55280,57661,59225,57496,61032,62166,63878,66262,70453,72196,75530,81350,83045,80301,81171,80404,81575,82149,86614,88896
"    94","        Compensation of employees",31485,34094,35571,37341,37371,37073,38356,40149,41393,42981,45019,45548,43488,43794,44880,46226,47204,48801,51628,51924,54013
"    95","        Taxes on production and imports less subsidies",841,869,924,943,1147,1242,1312,1398,1431,1495,1556,1627,1623,1633,1735,1703,3065,3154,3134,1880,1992
"    96","        Gross operating surplus",19929,20317,21167,20941,18978,22718,22498,22331,23438,25976,25621,28355,36239,37617,33686,33242,30135,29620,27386,32809,32891
"    97","    Nondurable goods",559097,579897,614063,625409,640460,635650,661023,702977,736642,789434,814121,801118,821175,832686,852375,865346,889941,916630,940315,903143,952985
"    98","      Compensation of employees",274360,284907,293456,302155,299144,293936,297652,300819,305439,309166,316225,316420,295962,300950,303669,312566,319830,334486,343780,347264,359868
"    99","      Taxes on production and imports less subsidies",25769,26014,26445,28459,29661,31275,32761,34321,36550,37766,39063,39668,49212,50949,53494,53735,55586,55589,56115,56661,57813
"    100","      Gross operating surplus",258967,268976,294163,294795,311655,310439,330609,367837,394653,442502,458833,445030,476001,480787,495212,499045,514525,526555,540420,499219,535305
"    101","      Food and beverage and tobacco products",135203,140007,161756,163231,174192,175591,178948,175834,178691,193853,194067,199117,237814,223168,209184,219258,227880,239476,259376,261281,269669
"    102","        Compensation of employees",62596,66630,69389,71893,73546,74836,77627,78937,79944,81154,84278,86051,85503,88147,88066,91888,94371,100062,103374,107368,113317
"    103","        Taxes on production and imports less subsidies",15581,15498,15496,17254,17333,18161,18984,19543,21106,21472,21557,21081,29894,31476,30804,31100,31185,30780,30467,30458,30655
"    104","        Gross operating surplus",57026,57879,76871,74084,83313,82594,82337,77353,77641,91228,88231,91985,122416,103546,90313,96270,102323,108634,125535,123454,125698
"    105","      Textile mills and textile product mills",27396,28085,28489,27984,24883,24026,18713,22155,20676,20079,19291,17840,15126,15546,15050,15936,16745,17817,17833,17966,18459
"    106","        Compensation of employees",20287,20729,20552,20387,18541,17562,16795,16506,15568,14771,14433,13480,10873,10931,11000,11156,11490,12082,12018,12011,12303
"    107","        Taxes on production and imports less subsidies",707,730,740,730,626,637,638,647,667,663,683,677,691,656,623,604,604,596,589,607,632
"    108","        Gross operating surplus",6401,6625,7196,6868,5715,5827,1280,5002,4442,4645,4175,3682,3562,3960,3427,4176,4651,5139,5226,5348,5525
"    109","      Apparel and leather and allied products",25165,23428,22399,22156,19462,18138,15488,14581,13839,12861,11848,11576,9874,10386,10122,9996,10213,9901,9653,9437,9299
"    110","        Compensation of employees",18055,17793,16587,15874,14393,12733,12059,11887,11311,10962,10651,10451,8585,8384,8148,8167,8194,8370,8176,8063,7872
"    111","        Taxes on production and imports less subsidies",290,304,312,322,289,293,290,305,319,318,324,319,319,307,297,287,283,275,275,278,289
"    112","        Gross operating surplus",6819,5331,5500,5960,4780,5112,3139,2389,2210,1581,872,806,970,1694,1677,1542,1736,1257,1202,1096,1139
"    113","      Paper products",55369,55857,59382,62190,53503,54119,51028,52744,51700,57990,55722,51381,59274,56306,53694,52980,56316,56740,59207,57732,58892
"    114","        Compensation of employees",31656,31893,32706,33241,32610,31981,31824,31316,31314,31081,31376,31216,28472,28905,29194,29123,29352,29789,30194,29921,30451
"    115","        Taxes on production and imports less subsidies",1673,1719,1711,1736,1558,1618,1647,1680,1720,1765,1837,1824,1880,1829,1779,1753,1765,1785,1837,1913,1995
"    116","        Gross operating surplus",22039,22245,24966,27213,19334,20521,17557,19748,18666,25144,22509,18341,28922,25572,22721,22104,25199,25166,27176,25898,26446
"    117","      Printing and related support activities",37438,39685,42163,43683,42721,42136,42189,42754,44478,46827,47693,45186,39657,39419,38707,38345,38938,39019,39959,39978,39180
"    118","        Compensation of employees",32053,33419,34283,35198,34316,32715,32169,32282,32639,32962,33339,32253,27249,26060,25928,25571,25433,25774,26057,26170,26256
"    119","        Taxes on production and imports less subsidies",645,684,730,780,679,710,724,785,839,851,890,882,895,851,819,793,779,766,769,790,824
"    120","        Gross operating surplus",4739,5582,7150,7705,7726,8711,9296,9687,11000,13014,13464,12051,11513,12507,11959,11981,12726,12478,13134,13018,12100
"    121","      Petroleum and coal products",47512,50116,45201,52706,68345,50723,81259,104214,141162,139988,154505,154572,110750,123448,158092,157974,150553,157466,144854,89565,120698
"    122","        Compensation of employees",10586,10656,11065,11084,12082,11235,12167,12528,13466,15609,15770,16349,16464,16445,16912,17958,18595,19063,19822,19780,20122
"    123","        Taxes on production and imports less subsidies",1650,1669,1687,1748,1627,1720,1821,1983,2156,2319,2553,2830,2898,2877,3079,2900,3460,3312,3424,3493,2494
"    124","        Gross operating surplus",35276,37791,32449,39875,54635,37768,67271,89703,125540,122059,136182,135393,91388,104126,138101,137115,128498,135090,121608,66292,98083
"    125","      Chemical products",173408,180960,188664,187916,193820,207881,210668,226843,223146,253834,267723,265404,288270,302645,304617,303364,320314,329187,331856,346670,353975
"    126","        Compensation of employees",64476,67012,70098,74173,74761,74139,76133,78089,80842,81640,85766,86640,84325,85980,86691,89663,92365,97244,100533,99000,102269
"    127","        Taxes on production and imports less subsidies",3988,4161,4373,4471,6290,6802,7270,7869,8332,8848,9715,10346,11198,11512,14322,14749,15620,16202,16842,17266,18924
"    128","        Gross operating surplus",104943,109787,114193,109272,112769,126941,127265,140885,133972,163345,172242,168418,192747,205154,203603,198952,212329,215741,214481,230404,232783
"    129","      Plastics and rubber products",57607,61760,66009,65543,63534,63037,62730,63852,62949,64002,63271,56042,60410,61768,62909,67493,68982,67024,77576,80514,82812
"    130","        Compensation of employees",34650,36774,38777,40306,38893,38737,38880,39274,40356,40986,40611,39979,34491,36097,37729,39040,40030,42103,43607,44949,47279
"    131","        Taxes on production and imports less subsidies",1234,1250,1395,1417,1258,1334,1387,1509,1412,1531,1503,1709,1437,1442,1771,1548,1889,1871,1911,1856,2000
"    132","        Gross operating surplus",21722,23736,25837,23819,23383,22967,22463,23069,21182,21486,21157,14354,24482,24228,23410,26904,27063,23050,32058,33709,33533
"    133","  Wholesale trade",527539,563735,584013,622624,613752,613147,641450,697110,754949,811473,857827,884319,834180,888905,934907,997353,1040067,1088166,1141709,1136576,1174123
"    134","    Compensation of employees",266144,289049,302267,327888,330201,329135,337122,357294,379429,404598,429255,435657,405132,412261,436221,457675,467636,489947,509991,511689,533130
"    135","    Taxes on production and imports less subsidies",122980,128113,132532,136240,133584,135439,141331,150956,161909,171522,172522,171897,158117,170283,185000,192450,202270,208191,212716,215304,222576
"    136","    Gross operating surplus",138415,146573,149214,158496,149966,148573,162997,188860,213611,235354,256050,276766,270932,306360,313686,347228,370161,390028,419002,409584,418418
"    137","  Retail trade",579918,626912,652622,685504,709492,732632,769610,795568,840827,869941,869218,848675,827625,851508,871932,908415,949451,973759,1021386,1051967,1087107
"    138","    Compensation of employees",338975,362715,380570,405728,416660,428467,444839,459353,477742,492173,506390,500928,474257,478916,495665,510119,526663,545534,573843,588234,606945
"    139","    Taxes on production and imports less subsidies",106246,112049,119799,126766,133716,136446,144783,155377,168304,179048,181053,178570,165959,178395,187193,194626,205345,213927,220789,226268,235109
"    140","    Gross operating surplus",134696,152148,152252,153010,159115,167719,179988,180838,194782,198720,181775,169177,187408,194198,189073,203670,217443,214299,226753,237465,245052
"    141","    Motor vehicle and parts dealers",118479,123705,135318,138622,132659,147034,149833,152726,158096,160471,162778,144424,125310,141221,148783,160964,172246,180930,193862,202867,209419
"    142","      Compensation of employees",65056,69610,73962,77750,81629,84850,88019,90041,93166,94781,96270,90104,77994,81525,87144,92380,98036,103397,110179,114775,118095
"    143","      Taxes on production and imports less subsidies",22009,22067,26622,26217,21730,29295,30797,32246,34112,35428,35529,32035,25874,31676,34617,37276,40657,43333,46317,48154,50126
"    144","      Gross operating surplus",31413,32028,34734,34654,29299,32889,31017,30439,30819,30261,30980,22284,21441,28021,27022,31308,33552,34200,37366,39938,41198
"    145","    Food and beverage stores",90914,98224,99670,101427,109103,111175,115110,117332,122549,125906,124086,128050,130616,131103,130046,131810,135868,138492,145084,147063,150802
"    146","      Compensation of employees",57830,61884,63387,66019,68169,69925,71963,72685,73698,75027,77432,80625,79294,80138,80808,82848,85381,87606,92555,93544,96098
"    147","      Taxes on production and imports less subsidies",11815,12027,12008,12004,14059,12978,14033,15141,16633,18046,18916,19452,19552,20223,20777,21289,22198,23182,24006,24588,25286
"    148","      Gross operating surplus",21269,24312,24275,23404,26875,28272,29114,29506,32217,32833,27739,27974,31770,30742,28461,27673,28289,27704,28523,28930,29418
"    149","    General merchandise stores",79780,86159,89058,94647,99613,102584,110071,114527,121130,123903,124580,128326,133092,132157,134111,133371,135326,138636,142674,144113,146813
"    150","      Compensation of employees",46170,49405,51250,55834,57799,61390,65450,68209,72252,75049,77976,79875,82266,80884,84594,84367,84626,87207,90363,91826,93207
