"Table 2.1. Current-Cost Net Stock of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: October 11, 2018"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"20","          Light trucks (including utility vehicles)",0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.8,0.8,1.0,1.4,1.8,2.2,2.5,2.7,3.1,3.3,3.3,3.3,3.5,3.8,4.1,4.2,4.4,4.4,4.5,4.8,5.1,5.3,5.9,6.7,7.1,7.9,8.9,9.5,10.5,12.1,13.7,15.4,16.8,18.9,22.0,25.9,29.8,31.8,34.5,36.4,37.6,40.7,44.4,46.1,47.5,50.2,51.4,51.7,52.1,52.5,57.7,70.9,84.5,103.8,125.6,145.0,165.9,179.0,180.3,177.3,179.4,194.1,210.7,228.9,240.8,219.2,188.6,182.5,198.6,217.8,245.0,281.0,328.0,381.4,414.9
"21","          Other trucks, buses, and truck trailers",1.2,1.3,1.3,1.3,1.2,1.1,0.9,0.8,0.7,0.7,0.7,0.8,0.9,0.9,1.0,1.1,1.2,1.2,1.1,1.0,1.4,1.8,2.6,3.5,4.0,4.6,5.1,5.5,5.6,5.6,5.9,6.5,6.9,7.1,7.5,7.6,7.6,8.1,8.6,9.1,10.1,11.4,12.1,13.4,15.2,16.3,18.1,20.7,23.6,26.6,29.1,32.8,38.1,44.8,51.6,55.2,60.0,63.4,65.7,71.1,77.5,80.7,83.4,88.4,89.3,88.0,85.0,86.8,93.3,102.0,112.4,113.6,114.2,123.8,133.2,136.7,130.6,127.9,124.4,132.4,143.2,157.3,159.8,159.5,150.6,149.4,157.4,167.5,177.9,192.2,211.9,217.7,222.5
"22","        Autos",4.3,4.3,4.2,4.2,4.0,3.6,3.3,2.8,2.7,2.6,2.6,2.7,2.9,2.8,2.8,2.9,4.2,4.0,4.3,3.9,3.1,3.3,4.5,5.5,6.3,7.5,8.4,8.6,9.1,9.0,9.7,10.2,10.6,10.5,10.2,10.2,10.1,10.7,11.0,11.3,12.0,12.7,13.4,15.0,16.4,16.9,17.8,19.1,21.1,24.1,26.3,30.0,35.9,42.7,48.0,50.6,56.4,58.3,65.5,75.5,82.0,88.9,89.3,94.9,95.6,98.5,106.0,112.8,122.9,140.1,147.1,153.6,154.3,154.9,160.8,162.9,161.9,159.9,152.8,151.0,154.8,160.9,165.9,159.3,141.4,141.1,151.0,172.5,187.2,198.5,208.3,207.6,191.0
"23","        Aircraft",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.6,0.7,0.7,0.9,1.0,1.0,1.2,1.5,1.9,2.1,2.7,3.3,3.9,4.6,4.8,5.2,6.2,7.7,9.9,13.0,15.5,17.6,18.2,19.3,21.9,25.2,27.7,31.1,34.6,39.2,48.0,57.5,67.4,73.0,76.1,78.6,81.7,85.9,88.8,95.7,100.9,110.2,119.3,127.0,133.2,135.6,143.3,147.6,150.4,158.3,178.2,205.8,229.8,241.4,253.9,271.9,282.2,292.5,304.6,328.0,318.6,328.6,344.9,356.9,371.2,390.1,403.6,414.5,431.9
"24","        Ships and boats",2.0,2.1,2.1,2.2,2.1,2.0,1.7,1.5,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.7,1.9,2.0,2.2,2.0,2.5,3.2,3.5,4.4,4.0,4.1,4.4,4.6,5.0,4.9,5.0,5.6,6.0,6.2,6.3,6.6,6.5,6.7,6.6,6.8,6.9,7.2,7.6,8.1,8.9,9.7,10.4,11.4,13.2,16.5,18.5,20.8,23.7,26.6,30.8,34.9,42.3,43.8,45.4,46.0,45.6,45.6,45.0,45.8,46.3,46.2,45.9,45.3,46.2,45.8,45.5,46.4,46.8,47.2,48.0,49.9,50.9,53.4,56.4,58.9,61.7,65.2,68.3,73.6,76.9,79.6,82.3,82.0,85.8,89.5,93.4,94.8,98.4
"25","        Railroad equipment",6.7,7.0,6.9,6.6,6.6,6.3,5.9,5.4,5.0,5.3,5.2,5.2,5.4,5.4,5.4,5.5,6.1,6.6,6.5,6.3,6.8,7.7,8.0,9.4,10.1,11.1,12.2,12.4,13.2,12.7,13.7,14.7,15.9,16.1,16.2,16.4,16.2,16.1,16.1,16.5,17.2,18.2,19.3,20.0,21.8,22.8,23.9,26.2,27.4,35.3,42.4,45.8,49.8,54.9,62.3,71.2,75.5,74.4,73.1,71.3,69.6,66.7,64.3,66.4,69.3,70.3,69.7,68.2,69.5,72.3,77.5,77.9,77.8,79.9,82.9,85.3,85.0,85.1,87.3,96.8,105.5,113.7,118.4,123.0,119.9,119.6,124.0,132.9,139.8,152.1,164.1,165.1,167.6
"26","      Other equipment",5.5,6.0,6.4,6.8,7.2,7.1,6.4,5.9,5.7,5.4,5.2,5.7,6.3,6.3,6.4,6.9,8.0,8.2,8.2,8.4,9.9,12.0,15.5,19.8,21.1,25.2,27.8,29.1,31.0,31.5,34.6,37.3,40.1,41.2,43.2,44.3,44.9,46.1,48.7,51.9,56.1,62.3,67.2,72.8,79.4,86.7,92.6,99.7,113.7,145.1,163.8,181.4,205.4,235.8,275.3,316.6,356.0,369.4,371.3,380.9,393.4,407.6,425.5,449.1,476.4,502.6,508.4,511.7,525.4,547.9,577.0,602.6,630.9,666.7,702.7,741.2,774.1,805.4,843.4,910.9,984.8,1065.0,1134.5,1229.2,1216.9,1242.1,1306.4,1359.4,1409.1,1470.2,1487.2,1499.1,1534.2
"27","        Furniture and fixtures",1.4,1.5,1.7,1.8,1.9,1.8,1.6,1.4,1.5,1.6,1.4,1.6,1.7,1.6,1.6,1.7,1.9,1.9,1.9,1.9,2.1,2.6,3.3,3.7,3.8,4.5,5.0,5.1,5.4,5.7,6.5,7.3,7.9,8.2,8.5,8.8,9.0,9.3,9.8,10.3,11.0,12.1,13.2,14.4,16.0,17.2,18.1,19.7,22.8,27.9,28.8,31.3,35.5,40.7,46.0,52.6,58.7,64.0,69.5,76.8,85.3,93.5,103.1,113.6,124.5,133.4,136.3,141.1,146.9,154.2,163.5,170.4,179.6,189.6,202.6,217.6,228.2,238.1,246.4,264.7,279.8,294.0,303.4,326.5,314.5,310.0,317.5,316.7,317.3,321.8,324.3,328.6,336.9
"28","        Agricultural machinery",1.9,2.0,2.1,2.2,2.3,2.4,2.2,2.2,1.9,1.7,1.7,1.8,2.0,2.1,2.1,2.2,2.5,2.6,2.5,2.7,3.1,3.5,4.2,5.8,6.5,7.9,8.7,9.4,9.9,9.8,10.6,10.6,11.1,11.7,12.2,12.5,12.6,13.0,13.6,14.5,15.7,17.3,18.8,20.1,21.6,23.6,25.1,26.8,31.3,40.7,47.1,53.2,59.3,66.7,79.2,89.0,100.0,102.8,100.4,97.5,93.1,90.9,87.8,88.2,90.6,94.4,95.9,95.1,95.4,97.0,99.3,100.2,102.6,106.0,104.5,103.9,105.1,108.1,113.3,122.4,130.3,137.0,144.3,157.6,163.2,167.7,175.9,188.4,206.4,223.1,227.1,225.1,225.8
"29","        Construction machinery",0.3,0.4,0.4,0.5,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,1.0,1.4,1.8,2.5,2.6,3.2,3.5,3.8,4.2,4.2,4.7,5.5,6.0,6.2,6.6,6.8,6.7,6.8,7.3,8.0,9.0,10.1,11.1,12.3,13.5,14.7,15.8,17.3,19.7,26.3,30.8,33.6,39.6,46.7,54.2,60.7,64.7,62.6,59.9,60.0,62.0,65.0,68.3,69.5,73.4,77.3,74.9,73.6,74.2,76.9,80.8,85.9,91.2,98.8,106.0,111.6,114.0,115.5,118.2,126.5,140.9,156.7,168.8,185.2,177.6,187.5,203.5,220.1,223.9,234.9,234.0,234.5,240.1
