"Table 5.6.5. Private Fixed Investment in Intellectual Property Products by Type"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2018"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"20","        Universities and colleges4","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.3,1.4,1.5,1.7,1.9,2.1,2.2,2.5,2.7,3.0,3.3,4.0,4.3,4.9,5.3,5.8
"21","        Other nonprofit institutions","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,1.0,1.1,1.3,1.5,1.8,2.0,2.3,2.5,2.7,2.8,3.1,3.6,4.1,4.8,5.1,5.3,5.6,5.9,6.1,6.2,6.5,6.9,7.3,8.2,8.5,8.8,8.9,9.5,10.3,10.5,10.7,11.0,11.4,13.4,14.9,16.1,16.9,18.3,18.7,18.1,18.7,18.8,18.4
"22","Entertainment, literary, and artistic originals",0.4,0.4,0.3,0.3,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.9,1.0,1.0,0.9,1.1,1.1,1.0,1.1,1.3,1.4,1.6,1.7,1.9,2.0,2.2,2.1,2.7,2.6,2.8,2.8,3.2,3.7,3.8,4.3,4.4,4.1,4.4,4.9,4.9,5.2,5.5,7.4,8.6,9.1,10.9,10.3,13.2,13.9,15.3,17.8,18.6,21.4,21.9,23.0,25.4,27.5,29.4,31.2,33.4,36.1,40.2,44.3,46.1,48.3,51.0,55.6,54.7,57.6,62.7,64.1,69.8,71.2,70.4,66.4,63.7,69.4,68.6,70.2,70.3,71.3,77.1,79.3,81.2
"23","    Theatrical movies",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.6,0.6,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.7,0.5,0.9,0.7,0.8,0.8,1.0,0.9,1.0,1.4,1.1,0.8,0.9,1.0,0.8,0.8,0.8,1.7,1.6,1.4,2.3,2.0,2.9,3.0,3.4,4.0,3.8,4.8,4.9,5.1,6.2,6.1,7.3,6.7,8.3,8.6,10.5,13.1,12.6,13.5,12.8,16.1,15.4,15.9,17.7,18.0,18.9,20.1,20.0,17.4,15.3,18.1,17.2,15.6,15.8,13.9,16.7,16.1,16.6
"24","    Long-lived television programs","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.2,1.5,1.4,1.4,1.5,1.5,1.5,1.8,1.8,2.1,2.1,2.9,3.4,3.8,4.5,4.0,5.5,6.0,7.0,8.0,8.8,9.8,9.3,9.8,10.4,11.6,11.6,13.2,12.8,13.8,15.6,17.5,18.2,19.1,20.4,21.1,21.1,23.5,25.9,26.1,30.5,31.1,30.4,29.0,29.1,31.8,33.1,36.6,37.1,39.8,40.8,43.2,43.7
"25","    Books",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1.0,1.1,1.2,1.4,1.6,1.6,1.8,2.0,2.2,2.3,2.6,2.8,3.0,3.3,3.6,4.0,4.2,4.4,4.7,5.0,5.3,5.5,5.5,6.1,6.5,6.9,7.2,7.3,7.6,7.8,8.2,8.7,8.6,9.1,9.1,8.6,9.8,9.5,9.2,9.1,9.1,10.3,10.2,10.2
"26","    Music",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.6,0.8,0.8,0.8,0.9,1.0,1.0,1.1,1.2,1.6,1.7,1.8,1.8,2.0,1.8,1.6,2.1,2.0,2.4,3.0,3.0,3.3,3.9,4.2,4.6,5.0,6.1,6.1,5.7,6.5,6.5,8.1,8.2,7.9,7.7,8.2,8.7,8.4,8.1,7.8,7.7,7.4,7.0,6.0,5.7,5.4,5.5,6.2,6.6,7.2
"27","    Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.7,1.8,1.9,2.2,2.3,2.5,2.6,2.7,2.7,2.8,3.0,3.0,3.0,3.1,3.2,3.3,3.3,3.2,3.4,3.2,2.7,2.9,3.0,3.0,3.0,3.1,3.2,3.5
"Legend / Footnotes:"
"1. Excludes software embedded, or bundled, in computers and other equipment."
"2. Research and development (R&amp;D) asset types are defined by the type of funder."
"3. Includes research and development expenditures for software."
"4. Includes R&amp;D investment by private universities and colleges. R&amp;D investment by public universities and colleges is included in state and local government investment."
